#{"t_start": 1766666917.7135015, "env_id": "None"}
r,l,t
-101.86807,107,5.493041
-109.15374,48,5.576159
-121.896454,1600,7.887561
-119.03565,1600,7.887886
-132.01976,1600,7.887998
-108.31574,41,7.959822
-103.02987,55,7.986583
-101.319695,56,7.993815
-113.58837,49,8.050598
-114.73543,73,8.117184
-103.74686,1600,8.168144
-115.07467,56,8.266308
-108.46787,64,8.371253
-107.69396,74,8.496562
-93.08345,127,14.485295
-92.713524,131,14.496525
-92.70992,132,14.502809
-92.944595,135,14.512329
-92.912415,127,14.720577
-92.69921,132,14.765054
-93.30392,129,14.781777
-93.516754,140,14.801801
-123.68698,96,14.968908
-113.45003,104,15.004322
-112.39177,62,15.094194
-97.77072,67,15.139956
-106.77531,55,15.242574
-126.305466,1600,22.194257
-129.72627,1600,22.200701
-118.098724,67,22.308793
-104.76738,89,22.349608
-118.9373,1600,22.464921
-103.43524,100,22.474954
-99.68244,1600,22.590553
-112.07303,53,22.688711
-95.80198,128,23.851175
-96.56014,132,23.862042
-98.286766,133,23.868048
-97.33883,135,23.875668
-97.4799,130,24.050287
-97.51022,128,24.067205
-95.72806,129,24.078727
-96.65831,135,24.089236
-111.95141,83,24.219605
-104.850174,98,24.243282
-118.64623,93,24.255391
-103.16065,80,24.35321
-116.806725,65,24.361917
-100.60794,74,24.373044
-109.342,45,24.43468
-108.88228,54,24.467889
-104.01249,45,24.546836
-123.241806,87,24.591785
-109.82907,56,24.646248
-118.59606,81,24.734815
-105.45929,75,24.778077
-106.831184,1600,31.576267
-109.1862,1600,31.84036
-111.449394,36,31.90099
-101.872185,1600,32.189996
-106.843056,1600,32.232987
-109.995735,62,32.340931
-112.77733,62,32.449588
-113.30374,102,33.192652
-113.409164,103,33.197985
-113.19834,106,33.206267
-114.16824,114,33.221696
-113.2763,103,33.359598
-114.18936,113,33.373565
-114.74575,114,33.381136
-114.039986,113,33.400398
-111.79933,58,33.476468
-108.63136,73,33.513026
-105.66394,83,33.537504
-110.43183,41,33.554963
-120.79039,114,33.612148
-106.18845,52,33.646523
-106.982704,62,33.654162
-106.452866,68,33.73175
-115.61023,87,33.800688
-117.25962,94,33.812878
-118.927444,76,33.86676
-111.4278,46,33.894582
-113.11581,69,33.928601
-103.87798,55,33.969211
-107.92071,69,34.018692
-106.787766,97,34.096472
-129.0451,108,34.150581
-117.11014,113,34.206902
-111.36866,52,34.288784
-93.004745,1600,40.98392
-102.955666,1600,41.516814
-107.25374,1600,41.57796
-111.83771,47,41.604666
-112.67494,55,41.671714
-104.79286,1600,41.723112
-113.33439,59,41.769814
-105.32697,128,41.979902
-114.984985,79,42.10938
-100.7351,76,42.236054
-97.154396,99,42.515723
-96.195885,103,42.527516
-97.12092,102,42.66868
-95.95934,102,42.678926
-104.724075,130,42.852306
-104.98545,168,42.913314
-96.606895,91,43.040114
-104.90476,182,43.112215
-104.65302,132,43.227426
-104.9984,146,43.319839
-96.52619,101,43.457658
-105.17735,179,43.481481
-97.99274,92,43.609365
-95.88233,109,43.76115
-93.82246,109,43.917037
-39.62009,1600,44.631401
-39.626442,1600,44.631756
-95.051956,94,44.764941
-94.47041,108,44.829977
-126.70498,975,44.876907
-114.694046,78,44.938552
-111.89586,42,44.951314
-115.90458,86,44.982928
-113.9341,55,45.047282
-112.923805,67,45.095547
-118.25183,96,45.110323
-116.21906,82,49.870084
-107.92739,91,50.019539
-85.45143,1600,51.107927
-91.107216,1600,52.38325
-96.74352,1600,52.446512
-114.86801,68,52.507472
-108.444145,49,52.540527
-114.91611,75,52.645755
-103.66102,1600,52.749971
-104.1092,59,52.856189
-102.939125,204,58.933748
-45.86517,1600,60.95935
-38.703594,1600,60.959667
-43.616158,1600,60.959823
-94.72951,144,61.177063
-46.189472,1600,61.274127
-41.459473,1600,63.313931
-46.506252,1600,63.314243
-102.45195,60,63.443173
-100.221985,67,63.460086
-109.65114,37,63.532516
-45.78181,1600,63.607129
-114.774315,52,63.699035
-55.674965,1600,63.717889
-111.40697,47,63.786699
-122.569626,149,63.978132
-108.14576,80,64.115582
-108.96179,56,64.215105
-101.819046,63,64.331601
-96.05383,1600,66.233242
-109.403725,1600,66.321359
-107.17282,65,66.434782
-105.02044,1600,71.347255
-118.736465,83,71.489434
-94.85515,1600,71.852926
-107.75015,84,71.985086
-106.396095,75,72.104653
-105.41659,80,72.230411
-104.466515,69,72.340586
-95.245094,78,72.526204
-95.29643,78,72.526556
-95.10119,78,72.526687
-95.03321,79,72.532348
-95.962685,77,72.637916
-95.280685,77,72.638288
-95.41191,78,72.653687
-95.60941,78,72.65997
-105.59005,64,72.760139
-110.74141,82,72.790158
-99.67804,75,72.909001
-93.51881,1600,80.263947
