#{"t_start": 1766670575.9981384, "env_id": "None"}
r,l,t
-139.58403,133,0.314478
-121.79909,57,0.428493
-111.54407,66,0.563492
-125.05167,77,0.709941
-129.5893,1600,3.332575
-148.6432,1600,3.333031
-119.23719,1600,3.333251
-118.58689,42,3.4281
-113.339005,54,3.460005
-108.949265,88,3.544291
-111.28336,52,3.564923
-114.431114,93,3.749843
-131.5049,1600,4.062967
-111.494125,119,9.897965
-114.58304,1600,12.530317
-132.54568,1600,12.618317
-132.14449,71,12.684452
-122.207924,1600,12.79908
-122.446625,1600,13.338149
-131.33296,84,13.513232
-123.46404,64,13.648164
-127.04017,1600,21.123276
-139.35316,1600,21.195645
-124.04026,1600,21.3241
-125.3131,134,21.645999
-126.781815,149,21.913409
-126.39828,197,22.316514
-125.68582,192,22.703444
-24.491198,1600,24.511442
-24.566412,1600,24.511751
-24.617779,1600,24.511928
-123.478905,152,24.781334
-122.54545,105,24.976421
-122.27053,98,25.181493
-122.193565,93,25.360116
-122.33178,98,25.541529
-122.16759,92,25.718769
-25.816416,1600,25.788787
-122.89365,98,25.920576
-122.416176,94,25.987836
-121.999176,93,26.120317
-122.79436,99,26.205919
-24.80134,1600,27.666385
-24.4847,1600,27.666877
-108.094666,74,27.875654
-63.957752,1600,29.586729
-70.8766,1600,29.664566
-121.54772,49,29.694481
-123.78393,49,29.770213
-120.89621,48,29.798094
-121.11161,71,29.919644
-117.66042,55,30.030005
-146.513,91,30.223087
-118.85069,1600,36.895655
-123.1653,1600,37.078709
-108.63927,93,37.303235
-124.37599,69,37.460023
-113.31136,1600,38.914853
-116.02889,138,39.204194
-125.95809,62,39.335905
-119.569786,1600,39.350904
-124.11479,1600,45.946989
-116.277664,1600,46.450158
-96.25409,1600,48.255651
-99.611946,1600,48.271406
-106.16481,1600,49.234357
-110.349304,76,49.403867
-25.974806,1600,52.749221
-20.637709,1600,52.749537
-25.02163,1600,52.749637
-25.062807,1600,52.749695
-19.234358,1600,55.63822
