#{"t_start": 1766673896.6134152, "env_id": "None"}
r,l,t
-140.12445,132,0.31615
-161.04768,2000,4.319813
-165.25633,2000,4.320145
-146.47475,2000,4.3203
-119.9482,51,10.040857
-124.77105,54,10.052792
-126.639305,58,10.066292
-121.75777,38,10.133634
-145.53563,2000,10.227612
-118.854004,89,10.257066
-128.80362,86,10.328252
-113.22405,65,10.405309
-124.56197,51,10.522926
-154.56064,2000,14.323805
-122.017914,44,20.13309
-145.09222,2000,20.194072
-120.27811,56,20.252809
-154.11987,2000,20.292589
-121.364784,48,20.362054
-121.789925,39,20.453916
-141.91388,2000,20.490495
-107.66058,90,20.508475
-125.4284,93,20.691322
-120.80482,55,22.219714
-121.24645,58,22.232129
-121.41469,58,22.232479
-121.96362,60,22.242106
-120.5771,53,22.329701
-121.88041,57,22.37055
-120.95032,55,22.379012
-121.92506,56,22.390958
-109.707535,73,22.525107
-132.6759,99,22.598315
-120.328026,59,22.66611
-125.80234,61,22.806648
-130.55165,89,23.007833
-116.03201,40,23.109415
-128.10452,80,23.285934
-114.97814,81,23.453882
-186.91652,1277,30.666362
-113.72832,51,30.773764
-148.86197,2000,32.229322
-126.27913,72,32.378926
-145.10248,2000,32.447647
-131.38972,73,32.547113
-129.60133,81,32.628905
-117.75644,61,32.676259
-119.926155,47,32.732155
-148.59258,2000,33.253318
-118.15253,90,33.42767
-119.07055,73,33.576378
-120.03241,57,33.6952
-107.895836,82,33.864786
-123.12665,66,34.014325
-148.27385,2000,40.227124
-116.081116,90,40.438746
-121.935905,51,40.553679
-191.91583,1322,40.685306
-126.27141,63,40.701709
-112.26032,62,40.843007
-116.59817,93,40.901597
-123.50244,77,41.019147
-145.63963,2000,42.14629
-124.82421,64,42.286891
-146.58049,2000,43.429506
-124.72567,54,43.54642
-125.92552,58,43.668692
-122.78522,70,43.900385
-122.994194,70,43.900877
-122.90157,71,43.908824
-122.99705,71,43.909178
-122.956245,70,44.043953
-122.84653,70,44.044295
-123.01287,70,44.066967
-122.73456,70,44.067251
-121.40373,50,44.176399
-130.22539,2000,53.69874
-144.75526,2000,53.699338
-138.04709,2000,53.707785
-148.18954,2000,53.816144
-112.30511,77,53.87715
-111.958824,78,53.884248
-113.76702,88,53.911756
-124.5187,53,53.94849
-124.043045,47,53.998212
-124.85193,54,54.022481
-112.898636,64,54.138773
-112.89525,54,54.254207
-147.59265,2000,63.441268
-129.10017,2000,63.476337
-137.8469,2000,63.538071
-113.35296,62,63.579419
-111.00428,59,63.607678
-116.142746,68,63.725408
-132.69551,2000,63.776504
-127.514114,85,63.90708
-121.93193,115,69.47905
-114.49558,55,69.489813
-116.27171,73,69.640361
-118.437805,78,69.662663
-128.66638,78,69.833171
-141.49577,693,70.543628
-112.89753,105,70.761863
-126.3607,87,71.014786
-126.35675,88,71.021765
-126.41358,88,71.022059
-125.652336,89,71.029844
-126.52741,89,71.189162
-126.52691,90,71.198274
-116.58629,68,71.342152
-131.23947,159,71.349216
-118.16356,183,71.401606
-134.09053,109,71.439652
-110.18495,66,71.489885
-116.30703,69,71.551127
-163.49573,956,73.298686
-124.37432,50,73.39835
-161.32863,942,80.480019
-147.56892,2000,80.505164
-148.27826,2000,80.630778
-129.31267,75,80.655247
-147.3275,2000,80.696715
-111.08272,61,80.821312
-128.29614,109,80.862209
-112.3015,103,81.074256
-117.64859,63,81.213052
-162.75195,968,83.260008
-113.00782,52,83.376916
-113.94125,56,88.754742
-116.83227,85,88.920572
-122.77963,64,89.054767
-123.18166,73,89.20506
