#{"t_start": 1766946206.785364, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-155.193041,2000,13.281817
-246.158727,1486,17.455055
-125.870054,111,17.717974
-123.287398,46,17.823876
-144.936049,2000,22.841964
-162.856481,2000,27.8079
-125.403476,97,28.034685
-123.955571,57,28.171321
-149.902913,2000,33.200105
-114.147527,54,33.319602
-117.468054,85,33.516478
-113.646996,86,33.721182
-113.231822,79,33.897239
-117.957356,60,34.040645
-123.232139,57,34.166951
-148.563623,2000,39.046524
-134.681467,2000,44.77669
-117.034969,66,44.939638
-113.756721,102,45.658908
-115.093662,57,45.806179
-184.339008,1244,48.617356
-127.36495,2000,53.620549
-147.099965,2000,58.681537
-130.938593,2000,63.73364
-112.314577,54,63.868508
-127.725559,2000,68.83087
-144.29567,2000,84.229333
-129.544193,2000,89.179258
-128.061978,2000,94.269408
-131.80455,573,95.596133
-107.554433,2000,100.509849
-146.735735,2000,105.500576
-186.548352,1852,110.038792
-109.860513,2000,128.113915
-124.867357,2000,133.042141
-128.484167,2000,137.916639
-144.350127,2000,142.999068
-143.654537,2000,147.891415
-111.918219,306,148.596639
-75.135036,2000,153.586306
-114.442331,338,154.364105
-132.172444,102,154.613122
-118.815026,412,156.025253
-129.602956,2000,171.48373
-19.955593,2000,176.475178
-113.441341,2000,181.540248
-142.077818,2000,185.86934
-116.102492,599,187.646511
-110.400185,304,188.324329
-107.15796,256,188.96432
-108.389223,2000,193.970152
-75.090731,2000,198.968746
-114.331045,345,200.430451
-140.988235,2000,205.468352
-102.342322,2000,210.204889
-112.252076,870,212.517224
-175.369012,1205,215.364659
-83.729841,502,216.550001
-53.628357,2000,221.611902
-142.504575,2000,226.751437
-82.702055,2000,240.005569
-168.543725,1493,243.85219
-146.838964,2000,248.83878
-98.75596,478,249.94762
-107.177242,261,250.556293
-102.687592,741,252.748667
-124.642487,2000,257.681453
-112.55477,330,258.458331
-101.334412,741,260.130808
-39.779481,2000,265.243289
-77.913617,2000,270.118788
-143.630503,2000,285.736598
-97.499996,2000,290.789931
-144.026158,2000,295.798073
-143.829722,1007,298.512623
-99.520641,178,298.932136
-161.223956,978,301.154325
-84.072462,564,302.477149
-132.201096,1255,305.777886
-92.766101,1134,308.73697
-44.781339,2000,322.919909
-28.713749,2000,328.054838
-126.378139,734,329.705048
-100.502409,204,330.168324
-146.926447,2000,335.04967
-143.762029,2000,340.159992
-119.241634,429,341.161761
-144.13131,2000,346.079037
-102.695921,197,346.51501
-109.587068,254,347.072875
-99.059143,643,348.931502
-95.195661,978,351.087972
-124.543048,2000,366.781297
-124.989826,713,368.847742
-107.119697,242,369.410394
-108.437711,966,371.62974
-78.573624,380,372.495995
-102.156118,200,372.948094
-81.461726,490,374.472928
-92.876155,815,376.368274
-100.523939,907,378.517862
-88.67389,722,380.581304
-130.172519,2000,385.489366
-67.27353,1181,388.244968
-89.773145,768,390.496239
-39.504862,2000,406.160538
-31.926752,2000,411.099638
-99.683904,157,411.439061
-102.383572,194,411.866908
-92.209097,724,413.546702
-98.769044,157,413.91246
-124.118511,420,415.349941
-1.963439,2000,419.761929
-116.812029,2000,424.593515
-125.349972,2000,429.59758
-139.898398,1596,433.649225
-143.832775,2000,449.474799
-103.487541,197,449.89691
-85.308059,682,451.938368
-133.750874,1226,454.699866
-81.436392,672,456.599347
-93.420823,1719,460.440381
-145.038986,2000,465.429817
-161.82063,1364,468.947255
-132.896995,130,469.252414
-115.917193,806,471.10956
-94.178698,157,471.937533
-96.866958,283,472.550798
-65.525061,2000,477.591814
-88.567053,2000,491.410506
-144.001484,2000,496.329775
-42.366382,2000,501.365875
-143.219124,2000,506.348834
-135.182815,2000,511.369462
-233.2305,1719,515.350289
-141.75137,2000,525.901232
-77.260186,994,528.566357
-82.922088,307,529.228964
-116.749759,392,530.089518
-76.982963,2000,534.945796
-92.768515,851,537.348326
-129.139099,2000,542.185634
-141.679334,2000,546.912078
-91.944135,426,547.863771
-104.186521,387,548.704106
-140.004384,2000,553.711602
-118.210295,385,565.470195
-73.840136,756,567.187852
-138.912439,2000,572.026488
-133.462079,2000,577.014086
-119.782215,2000,581.948224
-141.884647,2000,586.855731
-51.552272,2000,591.814448
-153.161021,1073,594.693851
31.021004,2000,608.787392
-118.335209,2000,613.867739
-70.10033,2000,618.828911
-86.458507,2000,623.742568
-98.863089,392,624.674794
-139.810012,2000,629.655962
-117.633952,2000,634.588385
-54.437458,881,643.170153
-104.166029,225,643.673987
-135.831874,2000,648.693449
-111.684755,314,649.890368
-106.531118,2000,654.879514
-116.462678,2000,659.858126
-122.534634,2000,664.841571
-118.763258,2000,669.687322
-99.555604,342,670.413099
-130.953653,2000,688.506281
-102.980518,2000,693.523703
-138.37622,2000,698.64465
-119.655058,1041,701.086557
-84.525239,2000,705.919352
-36.266741,2000,710.918253
-115.285058,2000,715.883136
-64.78164,879,728.816542
-107.754923,274,729.868037
-57.499304,2000,734.78001
-124.295903,2000,739.79466
-19.433434,1739,743.574648
-54.32621,555,745.230685
-129.645516,2000,750.314465
-37.843505,2000,755.218046
-105.195654,238,755.745755
-79.023604,2000,774.432356
-103.966951,2000,779.190512
26.521526,2000,784.079506
-97.459111,154,784.431432
-91.099007,2000,789.368522
-99.064964,2000,794.210488
-139.892295,2000,799.285098
-16.17428,2000,817.414845
-101.350401,310,818.140731
-89.083425,2000,823.181808
-89.012543,2000,828.224477
-138.337386,2000,833.278512
-107.334926,260,833.899456
-95.652737,513,835.1327
-54.943857,2000,840.186382
-109.853441,2000,845.415464
-96.234484,182,845.850771
-78.542912,278,846.49357
-109.784689,2000,859.803962
-90.956833,2000,864.874857
-132.624054,329,865.634946
-100.174046,2000,870.520089
-110.909973,276,871.621269
-136.034586,2000,876.557068
-128.598863,2000,881.148595
-74.790914,2000,886.194113
-88.43381,506,887.79992
-57.593997,2000,902.062463
-91.774127,179,902.457995
-27.335151,1174,905.114491
-96.894063,2000,910.192404
15.453443,2000,915.149946
-49.504387,2000,920.230945
-13.07558,2000,925.114971
-135.639186,2000,943.065648
-91.747303,2000,948.120433
-95.360212,128,948.413578
114.164586,2000,953.383716
-77.120205,2000,958.361135
-115.086728,2000,963.333377
-132.689709,2000,968.233432
-132.819086,2000,982.990102
-54.889789,540,984.232252
-85.344256,2000,989.072171
-85.212843,2000,994.080495
134.81655,2000,998.969356
-60.218807,2000,1003.851486
-97.50944,205,1004.362852
-121.917459,2000,1009.434463
-25.499439,2000,1022.241856
-106.120622,682,1024.24018
-62.065441,2000,1029.263494
-39.894158,2000,1034.341728
-70.178605,2000,1039.249762
-34.437079,588,1040.589559
-37.518836,807,1042.424005
-54.064674,1021,1045.218327
-49.915257,527,1046.424483
-95.21765,126,1046.702091
-48.52155,2000,1051.631963
-62.939259,799,1067.045994
-41.20765,2000,1072.07322
-40.007943,969,1074.698634
-85.525658,2000,1079.72891
-65.09469,2000,1084.791257
-93.90238,2000,1089.836797
-87.244691,170,1090.229322
-127.51644,2000,1095.232866
-17.619239,2000,1107.282001
-70.941208,284,1107.916759
-128.997661,2000,1112.912658
-77.522285,2000,1117.885431
-16.777574,2000,1122.833606
-84.707847,1002,1125.062253
-118.749067,2000,1129.971015
-114.031147,2000,1145.45636
-71.817991,2000,1150.375891
-67.271003,317,1151.572724
-113.207777,646,1153.063616
-47.991777,1619,1157.173619
-75.716334,1662,1160.720776
-71.552234,726,1162.783915
-79.457589,363,1163.607639
-14.429473,2000,1168.618382
-90.305726,169,1168.991479
-77.194384,2000,1173.756706
-92.310646,2000,1191.298666
-57.879011,302,1191.985871
-55.0552,2000,1196.867648
-102.747068,2000,1201.618788
36.211007,2000,1206.636683
-89.054934,155,1206.975918
-4.186441,2000,1212.010155
-121.77849,2000,1216.914692
-121.433217,2000,1233.614335
-75.834597,482,1234.69498
-105.139279,2000,1239.567516
-55.971592,416,1240.969689
-57.390629,374,1241.854002
-121.820073,2000,1246.783527
-122.192477,2000,1251.685496
-41.738614,452,1252.719565
-99.577456,2000,1257.712201
-102.684097,2000,1275.514516
-107.967633,2000,1280.583846
-122.888716,2000,1285.442731
-123.750506,2000,1290.368858
-123.080162,2000,1295.405785
7.004575,1164,1297.979794
18.358191,1408,1301.564661
-62.378314,2000,1315.633052
158.837698,2000,1320.578747
-35.67278,2000,1325.363223
-37.895895,2000,1330.423565
-5.340363,2000,1335.449502
-83.365261,1187,1338.160705
-69.326148,438,1339.63644
-108.676007,222,1340.14889
-44.157466,2000,1345.192297
-61.259148,2000,1358.275717
-89.416285,505,1359.397613
-75.308318,452,1360.427269
-124.49687,2000,1365.405456
-7.311927,1127,1368.422231
-104.812442,481,1369.524371
-105.617139,268,1370.129617
10.829488,2000,1375.067856
26.077506,2000,1380.009577
-8.555712,2000,1384.962148
-98.480233,2000,1400.627946
-100.6767,2000,1405.667458
-109.089214,331,1406.437965
-102.634697,2000,1411.282932
114.963341,2000,1416.277673
-67.495602,249,1416.871794
-42.649177,641,1418.782458
-28.44629,2000,1423.30182
-56.777879,2000,1440.585716
-70.930959,2000,1445.539359
-94.345527,2000,1450.42472
-118.746383,2000,1455.442636
-125.13002,2000,1460.323779
-82.564547,452,1461.79374
-34.266139,2000,1466.806371
-88.516376,2000,1480.470104
-110.901736,2000,1485.37037
-74.367389,2000,1490.232706
31.145351,1654,1493.983348
-67.88484,2000,1498.797724
-84.414708,2000,1503.832603
-116.466578,2000,1508.752909
-36.934348,641,1523.492546
-61.258469,2000,1528.496482
-54.262993,967,1530.705275
-76.654292,518,1531.885872
-20.795657,2000,1536.893298
-147.248872,1008,1539.570056
183.634782,2000,1544.536186
-132.998211,770,1546.258046
-84.218368,2000,1551.128422
-40.608299,985,1562.944101
-89.364358,149,1563.27715
-34.725632,563,1564.553523
-53.658372,497,1565.729178
-57.003379,2000,1570.706895
207.190042,2000,1575.640511
-92.795848,2000,1580.652277
-79.157317,2000,1585.392702
-63.848168,2000,1590.222922
-90.955386,521,1591.445877
-25.118051,2000,1603.8733
-84.427515,1352,1607.320936
4.931604,2000,1612.230662
-121.539152,2000,1617.219395
-74.06648,2000,1622.122839
-69.783249,248,1622.678684
-53.180351,470,1623.728605
-45.179382,470,1624.772543
74.171291,2000,1629.756819
-75.886473,2000,1640.822348
-164.240127,1455,1644.582154
-89.80315,165,1644.967464
-5.862122,966,1647.640845
-94.938957,2000,1652.670768
-53.946455,2000,1657.665191
-25.548875,662,1659.148565
-32.016735,2000,1664.088804
194.143215,2000,1676.600513
-10.018136,2000,1681.606887
187.247204,2000,1686.551454
-64.609746,254,1687.128895
-72.591676,219,1687.620243
-90.549484,279,1688.275312
155.421496,2000,1693.248375
-89.603406,162,1693.618066
-23.408094,2000,1698.534086
-58.332735,2000,1703.513134
22.746798,2000,1717.300907
49.592501,1951,1722.213004
4.208415,1243,1725.490121
-94.122303,2000,1730.591596
-8.394099,802,1732.459537
-14.505908,2000,1737.470469
109.787503,2000,1742.484509
18.925756,2000,1754.043325
-47.641344,488,1755.178656
-131.193711,158,1755.533747
-88.204316,143,1755.864988
-90.089196,165,1756.248847
-42.571231,672,1758.22172
-41.42752,809,1760.037408
10.763217,1481,1763.928092
-52.63368,389,1764.835135
-61.938686,496,1765.994845
-29.626846,2000,1771.064204
-90.116865,2000,1776.098436
-35.000151,2000,1781.114069
0.684678,2000,1790.038091
-75.90404,342,1790.829398
51.135193,2000,1795.624209
-91.361773,2000,1800.650588
-43.060073,2000,1805.679679
27.044643,2000,1810.6648
-54.802906,430,1812.069642
-43.469785,2000,1817.103361
-89.447826,156,1817.465176
-68.386845,213,1817.959425
-99.910692,191,1818.397256
-91.538937,130,1818.70795
-56.01225,2000,1835.64878
-71.073908,2000,1840.680964
-70.264163,267,1841.260928
118.894327,2000,1846.212682
-50.233798,621,1847.62846
-90.78218,2000,1852.667489
118.843127,2000,1857.455143
20.033464,1200,1860.569508
-73.211908,408,1861.515961
-93.692818,126,1861.803491
-75.612646,2000,1877.649911
-88.862727,2000,1882.588721
-71.555756,456,1883.593812
-28.524894,897,1886.141429
-69.989272,344,1886.956421
-64.879697,2000,1891.95977
-88.241579,2000,1896.760902
-93.066336,2000,1901.783501
-92.713528,2000,1915.729746
-86.519541,163,1916.075646
48.51578,2000,1920.987613
-20.015745,758,1922.744097
0.443318,1929,1927.547438
123.109734,2000,1932.445799
-92.338956,2000,1937.496104
-33.70348,2000,1942.337548
-90.678338,148,1942.667301
-111.114918,2000,1958.86422
-93.814355,1595,1963.003835
-90.846303,2000,1967.989556
-75.010198,489,1969.112578
-16.419861,795,1970.957148
35.477297,2000,1976.071889
-15.007225,2000,1980.942735
-67.08552,2000,1986.052558
-95.531466,391,1987.403291
60.336619,2000,2000.766103
-5.254296,2000,2005.674757
8.152313,2000,2010.215836
-91.281076,2000,2015.214594
-35.766077,2000,2020.129916
-93.17517,2000,2025.189562
152.444757,2000,2041.527297
-114.091967,527,2043.161279
-89.638376,156,2043.516659
-29.414708,2000,2048.574303
-57.766001,340,2049.364277
-65.400168,2000,2054.238478
-8.478884,2000,2059.176576
-167.332647,1587,2063.21814
12.626119,2000,2068.153955
28.748312,1092,2081.286674
4.305039,2000,2086.277156
-78.295626,600,2087.648357
-68.459052,2000,2092.72979
-53.888018,523,2094.348098
33.064321,1016,2096.700068
-101.206227,194,2097.163411
-63.818394,2000,2102.087605
-88.044379,2000,2106.975063
-33.257535,433,2107.981933
-51.000056,2000,2123.222665
-90.433253,153,2123.563165
127.855797,2000,2128.515796
-33.273362,657,2130.45471
73.298708,2000,2135.583586
12.62183,2000,2140.70792
36.115148,2000,2145.70623
105.446633,2000,2150.6061
-47.137705,2000,2166.30734
-49.305178,2000,2171.357606
-43.67768,522,2172.528493
-46.19512,2000,2177.481375
-29.069683,2000,2182.552042
108.078583,2000,2187.457993
-86.593829,423,2188.383892
-89.494611,1204,2191.455963
-33.850292,2000,2206.466139
86.293713,2000,2211.4844
-81.655738,2000,2216.007477
-44.069162,2000,2221.051836
-76.138336,2000,2226.001716
-66.896735,2000,2230.98385
-39.580654,2000,2246.828334
-113.840962,507,2248.414422
-104.888776,2000,2253.438509
6.880947,1722,2257.364434
-62.474687,1013,2260.089828
50.052213,2000,2264.909039
-91.659482,127,2265.197495
67.216791,2000,2270.160435
-110.137525,526,2271.372649
-27.287513,2000,2276.304344
-94.071545,2000,2294.463206
-85.168985,2000,2299.423748
207.766335,2000,2304.344635
35.950307,2000,2309.294698
-109.09083,2000,2314.168573
-53.966606,604,2315.542211
-43.359792,2000,2320.518854
-77.559536,268,2333.749982
-68.656766,2000,2338.770758
-99.678132,389,2340.079857
64.372229,1437,2343.352385
-123.086369,2000,2348.29457
57.878479,2000,2353.126926
-17.215712,1070,2356.015973
-0.95554,2000,2360.980741
-62.276618,2000,2372.326615
5.71898,2000,2377.315089
-60.911739,361,2378.140889
-94.156364,2000,2383.105879
28.220038,1184,2385.759306
-63.667744,267,2386.816593
19.288737,2000,2391.80687
-105.583117,1336,2394.799786
-68.425503,2000,2399.703569
-94.191577,2000,2414.225176
-21.117011,2000,2419.202232
-61.884216,281,2419.840519
-73.302811,2000,2424.802659
-118.691731,2000,2429.851785
-12.284974,713,2431.899456
23.067598,2000,2436.801956
-28.142372,782,2438.578807
-111.641458,2000,2456.624321
