#{"t_start": 1766680024.0578823, "env_id": "None"}
r,l,t
-115.33185,58,0.184043
-110.90047,68,0.215078
-121.864784,111,0.339424
-114.497246,67,0.382197
-123.314476,70,0.558508
-111.71954,103,0.618805
-129.85234,87,0.799407
-158.00226,2000,4.49676
-115.210266,60,5.628246
-169.91116,2000,5.653485
-123.34747,67,5.800404
-111.085655,82,5.826335
-128.01984,62,5.956851
-112.52526,56,5.966524
-148.30443,2000,6.00883
-118.0525,60,6.136886
-159.52052,2000,6.159964
-115.93367,91,6.181112
-133.8682,92,6.181406
-111.01758,66,6.3021
-115.54492,56,6.319933
-137.10376,95,6.521303
-122.69054,42,6.617895
-110.31074,92,6.816737
-167.83913,2000,11.45741
-163.2413,2000,11.477034
-157.70293,2000,11.595261
-111.082306,104,11.706164
-132.40585,101,11.861476
-111.09069,54,11.872641
-112.96277,73,12.092218
-158.90219,2000,12.235177
-111.66407,58,12.264127
-118.82884,71,12.437226
-137.50928,90,12.515155
-115.005714,95,12.699284
-118.93757,97,12.962832
-124.993774,84,13.599148
-128.79034,88,13.616019
-130.51297,136,13.730817
-124.98825,70,13.790196
-130.27031,128,14.110469
-102.91692,217,14.28596
-128.57004,81,14.330549
-103.894264,285,14.3441
-128.82957,79,14.492871
-128.4649,81,14.542971
-128.92982,84,14.552629
-125.60391,66,14.669008
-128.76538,83,14.753702
-102.586914,121,14.833611
-128.83093,78,14.846011
-129.2129,93,14.938851
-126.21436,71,14.980342
-102.70233,114,15.054632
-127.13274,73,15.088045
-129.3321,98,15.183568
-129.46405,99,15.261898
-129.65683,110,15.312359
-127.57759,77,15.344976
-128.46455,84,15.436753
-124.746124,64,15.47252
-128.43466,99,15.520013
-129.38068,97,15.659335
-129.99104,120,15.677728
-129.3042,95,15.707985
-127.030334,77,15.896691
-127.53574,83,15.896964
-128.88736,91,16.056922
-129.06166,97,16.074006
-102.22299,193,16.140057
-127.00865,77,16.238813
-128.05779,85,16.248646
-127.26849,77,16.309202
-102.41206,108,16.488545
-127.57834,79,16.527654
-101.67029,146,16.59968
-128.54268,81,16.673512
-126.17214,78,16.68196
-128.57747,79,16.751328
-129.15442,99,16.868171
-102.47815,163,16.981211
-126.31985,80,17.019496
-102.50936,161,17.058744
-128.8387,83,17.178029
-102.66164,105,17.192596
-126.19314,72,17.205563
-126.404884,73,17.330682
-128.90092,88,17.375426
-102.936516,97,17.403864
-128.08896,82,17.530275
-129.58842,115,17.560715
-128.91888,89,17.576861
-128.83496,82,17.690537
-102.7979,99,17.750124
-125.286285,100,17.76879
-33.943512,2000,17.800095
-122.43044,54,17.917987
-123.3993,41,17.943297
-135.72845,97,17.961851
-125.23739,54,18.062675
-153.62492,2000,23.063171
