#{"t_start": 1766686253.272518, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-75.977651,2000,662.949823
-116.45867,2000,665.689073
-86.397018,2000,668.573547
-136.06037,2000,671.361326
-67.360979,2000,674.142051
40046,139,71.948275
-122.165579,2000,96.145679
-116.56718,2000,114.650814
-178.8358,1002,127.983456
-200.279356,1541,148.076528
-135.632033,665,157.201294
-150.337868,346,161.412859
-94.884022,123,163.084731
-121.010292,152,164.783978
-124.673766,83,166.363038
-136.295972,210,168.934306
-130.03557,2000,194.990869
-127.075191,2000,220.933127
-134.369029,880,233.081582
-113.32926,89,233.961516
-116.428945,85,235.54001
-84.933875,2000,261.759563
-101.508938,2000,287.681463
-229.63058,1548,308.469059
-158.971276,2000,334.296038
-118.575018,164,336.032205
-95.430032,236,339.327581
-256.550816,1840,363.462497
-141.675287,1355,381.091309
-123.620344,302,385.246567
-67.576542,2000,411.074185
-89.649959,168,413.499377
-101.339519,284,416.924923
-107.278033,161,418.682974
-54.839691,837,430.314295
-102.248193,2000,456.100252
-148.157063,1790,479.267073
-94.573382,365,483.507427
-92.036648,228,486.772141
-2.952781,2000,512.684582
-103.517207,286,516.818584
-142.257923,640,525.080435
-74.539825,2000,551.088926
-98.682665,119,552.789421
-95.728824,238,556.111653
-96.17072,263,559.471599
-83.443302,207,562.027308
-107.431215,405,567.250221
-88.416328,212,570.533962
-119.295014,74,571.420166
-120.402987,658,579.901779
-84.531361,472,585.862653
-92.891799,206,589.166096
-105.089791,997,601.813871
-83.959668,2000,627.629011
-85.971241,281,631.671614
-78.980437,2000,657.673538
-87.688091,668,666.833509
-145.316027,1457,699.391142
-30.119532,2000,726.035754
-125.814077,2000,751.97662
-57.446283,278,755.317301
-57.260734,465,761.16324
-23.716227,920,773.559337
-115.004379,157,775.331726
-102.113567,128,777.0093
-78.305682,272,780.371737
-127.763769,876,792.081811
-78.546751,126,793.727358
-64.648533,288,797.853421
-63.715473,299,801.308945
-176.861998,1494,821.299746
-150.615814,2000,847.130267
-31.840375,2000,873.013712
-48.943798,618,881.293374
-95.973667,108,882.195098
-98.71422,251,885.564825
-59.546705,637,893.935832
-100.741056,201,896.487697
-53.914335,474,903.059698
-46.390028,252,906.340391
-89.963827,188,908.863237
-97.503499,1143,923.844812
-217.566482,1720,946.298585
-101.711735,1002,959.014989
-94.357962,216,962.269294
-76.90475,2000,988.102797
1277,865.393065
-61.319747,409,870.419286
-97.772872,2000,896.449965
-54.132943,365,901.417985
-78.453058,846,912.298486
-104.008183,328,916.456004
-107.618792,297,920.560616
-94.578674,174,923.022921
-100.333177,327,927.145766
-143.387487,960,939.657148
-73.130431,261,943.004393
-54.428672,2000,968.971641
-88.99174,143,970.666551
-92.009061,373,975.613536
84.301619,700,929.586575
-88.656723,147,931.263753
-65.38508,552,938.779521
-94.456139,1094,953.031097
14.04948,2000,978.897101
63.749911
-89.908081,150,865.470049
-83.301184,180,867.93201
-62.304649,531,874.729256
-93.717571,240,878.024511
-91.391311,544,885.455487
-40.060988,1177,900.595896
-97.403392,475,906.412586
-94.664952,428,912.282676
-104.112601,122,913.939389
-100.898004,196,916.419783
-40.638329,824,927.169533
-107.296884,124,928.802572
-110.807011,1400,947.169657
-119.648385,305,951.317716
-13.737715,900,963.111805
-147.922879,525,969.764187
