#{"t_start": 1766685111.8125522, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-113.46781,107,5.436388
-92.615053,2000,6.462017
-117.812318,75,6.502789
-122.246698,120,6.566117
-109.07483,102,6.621862
-108.248132,60,6.654778
-100.295052,116,6.716658
-107.338208,105,6.77029
-156.445935,739,7.152091
-112.431056,44,7.177824
-187.871529,1910,8.166018
-126.327706,118,8.229599
-109.044915,2000,9.246187
-99.342269,101,9.299063
-100.215514,91,9.347077
-110.565348,66,9.385174
-89.09541,2000,10.406626
-115.295471,2000,33.039199
-98.268281,2000,57.212602
-105.200874,56,57.877676
-102.144388,53,58.502011
-99.438645,55,59.166008
-101.584826,48,59.750558
-103.023195,50,60.36728
-99.611372,63,61.131266
-100.592151,50,61.727021
-100.626288,55,62.400738
-106.277233,72,63.303157
-104.944819,47,63.883137
-109.039786,55,64.582366
-102.557466,51,65.21622
-114.980019,77,66.175165
-109.011112,59,66.884029
-111.568412,73,67.75152
-150.129394,935,79.045405
-117.009013,481,84.86202
-113.1484,174,86.970979
-100.664329,118,88.398303
-117.10461,86,89.467212
-108.052004,214,92.103503
-97.752656,259,95.22736
-114.153561,125,96.79571
-115.601914,62,97.55424
-103.006526,171,99.671741
-100.172956,2000,124.145734
-134.896913,614,131.612565
-140.315409,374,136.160805
-124.71354,99,137.387292
-92.780141,295,140.973798
-110.686591,85,142.004806
-90.070332,213,144.582759
-92.084289,604,152.037616
-112.610481,85,153.077664
-119.125277,98,154.301752
-109.840241,155,156.228853
-109.347243,696,164.875152
-109.444337,545,171.571867
-113.627925,65,172.364902
-107.839947,2000,197.918262
-59.099543,2000,200.187484
-86.088137,2000,202.330369
-139.59234,518,202.905895
-56.788392,2000,205.139774
-94.340523,2000,230.216438
-125.155735,1056,243.558024
-133.698115,99,244.799916
-152.113599,286,248.513448
-108.786125,605,256.102961
-137.279444,1008,268.637919
-101.617864,384,273.404099
-108.60549,123,274.900754
-114.002404,149,276.742216
-105.968941,764,286.163348
-100.760952,328,290.284342
-115.739195,955,302.252811
-97.771956,295,305.907866
-74.014842,381,310.647573
-100.356925,349,314.979849
-96.679361,407,319.970438
-58.483832,797,329.731921
-105.563955,407,334.780679
-60.209992,2000,359.393833
-102.57438,449,364.810619
-108.802926,639,372.655578
-112.239889,2000,397.063248
-89.875461,2000,421.955896
-91.292754,2000,446.559844
-110.324397,67,447.372687
-103.190951,76,448.308341
-111.08393,78,449.258799
-107.123453,83,450.287036
-103.61575,74,451.184542
-107.288215,80,452.173969
-104.477278,60,452.909087
-113.468797,89,453.999409
-102.948503,97,455.235945
-103.698039,79,456.263674
-104.118478,131,457.871467
-118.774672,85,458.913484
-102.480799,103,460.182916
-110.157325,185,462.459193
-103.043198,135,464.148653
-124.598634,299,467.980009
-190.149378,1620,488.061781
-125.534712,70,488.930249
-118.281601,59,489.683124
-123.547214,107,491.045487
-116.515504,54,491.736477
-96.215802,354,496.163121
-128.179289,181,498.444804
-113.896943,65,515.738702
-115.541631,77,515.824513
-114.430801,76,515.908442
-113.117797,57,515.972342
-116.198278,79,516.062889
-115.05107,93,517.219726
-119.098708,71,518.087905
-132.96589,123,519.571475
-27.834083,2000,544.329456
-93.081751,308,548.115606
-88.162597,229,550.970124
-109.922211,430,556.364458
-75.816327,596,563.713472
-93.323926,2000,588.466678
-134.83155,945,600.171426
-106.174885,120,601.708802
-100.347292,61,602.484136
-103.402553,80,603.455946
-97.588385,1807,625.773469
-114.566272,71,626.626108
-121.527729,282,630.024064
-117.666842,179,632.221817
-90.091653,188,634.513108
-84.053902,229,637.395771
-92.72472,451,642.913685
-92.102586,116,644.335572
-95.358841,252,647.463154
-181.498269,1618,667.433947
-119.478515,322,671.420265
-54.569469,479,677.269884
-91.928395,217,679.882283
-58.684552,330,683.941973
-92.580077,182,686.207912
-111.443342,486,692.29445
-70.925715,720,701.066957
-48.501949,977,713.145777
-103.381823,388,717.993982
-97.757837,331,722.099477
-111.974278,468,727.877743
-85.475307,366,732.359833
-90.396032,214,735.041728
