#{"t_start": 1766935366.8777685, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-102.436947,57,8.716412
-103.165556,96,8.86314
-100.868064,93,9.001366
-104.232138,2000,11.744926
-117.788652,143,11.937047
-110.905711,73,12.038677
-99.899245,113,13.016984
-111.433236,2000,40.677052
-98.987408,91,41.597535
-105.190076,84,43.248705
-100.489499,85,44.145983
-104.805671,52,45.024212
-101.343289,63,45.905323
-111.737648,49,46.747775
-106.989109,2000,74.133983
-121.732488,2000,101.755556
-103.087141,2000,129.340177
-124.609559,208,132.758434
-125.662236,92,133.689038
-121.486294,2000,161.656513
-110.039243,2000,189.921443
-107.67416,2000,217.199471
-103.033818,2000,244.838601
-108.969029,2000,272.608304
-139.520496,786,283.982203
-150.585016,931,296.120174
-152.885014,1358,314.73729
-96.624695,2000,342.90656
-84.513242,2000,370.244326
-97.332953,325,374.679898
-88.940508,377,379.88825
-79.847864,2000,407.262583
-59.026764,2000,434.960512
-77.844346,281,439.332739
-54.514301,2000,467.769026
-92.77801,420,474.104713
-102.016776,2000,502.559163
-81.144404,873,514.368731
-91.3313,263,518.692111
-17.909334,2000,546.103068
-104.016379,379,551.426422
-113.404662,805,562.449827
-107.867739,413,568.604052
-84.721423,1129,584.05301
-122.482878,1081,599.218904
-77.118269,897,611.776737
-139.046345,665,621.664073
-127.568833,294,625.3795
-98.935909,256,629.003235
-49.571903,780,639.768423
-131.220325,1070,654.970205
-22.907124,2000,687.979935
-85.599293,400,694.336043
-114.91125,2000,722.287717
-154.554027,1399,741.960384
-83.034995,725,751.789368
-115.023456,771,762.953404
67.079122,2000,791.081261
-119.675303,137,793.636507
-160.505602,1484,814.054526
2.808865,1608,836.644361
-42.171968,1259,854.883141
-188.174877,1609,877.610617
52.762882,2000,905.404045
-17.507675,1129,921.173321
-78.753304,182,923.046526
-79.567963,601,931.867865
-95.822049,343,936.408961
40.88539,2000,964.264195
-21.885669,2000,993.201055
-80.768204,609,1001.455568
-124.91124,594,1009.465874
-89.073172,630,1018.592855
-120.854659,2000,1048.264836
-62.235989,2000,1076.260518
-92.706372,220,1079.005094
-89.036887,132,1080.754929
-58.543511,406,1086.892232
-61.38965,572,1094.834495
78.57121,2000,1122.260331
-81.502078,263,1125.818217
-88.371411,251,1129.291551
-125.479334,310,1133.634776
-89.652871,149,1135.461106
-120.690598,2000,1162.807034
-88.57712,2000,1190.870798
-87.684013,220,1193.529047
-95.682937,2000,1220.870911
79.231467,2000,1248.039057
-87.379129,597,1256.755091
-63.745496,289,1260.443496
-25.1072,2000,1288.489384
-73.853205,276,1291.991876
-76.835746,259,1295.573843
-88.488861,120,1297.31478
-98.708845,194,1299.957922
-44.453574,936,1312.299346
-54.958108,693,1321.989719
-44.2267,431,1328.122906
-30.612626,1028,1342.112956
-105.568353,893,1354.508695
-62.573745,590,1362.503919
-169.344065,1670,1396.107339
8.790698,1041,1411.035768
-57.339486,706,1420.721898
-85.859368,247,1423.479221
-57.100534,1304,1441.795276
-100.792728,211,1444.438285
-107.036199,169,1446.991643
-37.886004,2000,1474.246096
-48.602497,610,1482.946994
-95.208144,2000,1510.085082
-74.402422,867,1521.615517
-96.780528,256,1525.11078
-106.80151,2000,1552.955336
-40.503357,2000,1580.097939
-108.227905,2000,1607.376974
-67.471337,820,1618.855473
-109.480278,1446,1639.04521
236.661211,1960,1665.504091
0.658867,859,1677.761392
-19.684036,967,1690.990141
-111.332228,433,1696.349728
-60.994653,456,1703.239572
-68.854071,478,1709.423756
