#{"t_start": 1766934664.6497912, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-119.694893,78,12.903132
-116.280294,126,13.067059
-103.657313,2000,15.612004
-99.804386,2000,36.981455
-99.429514,50,37.73422
-105.301767,2000,61.233687
-102.387757,64,61.98544
-89.075878,2000,85.341274
-123.363728,1277,100.280532
-134.051074,96,101.732335
-106.077275,506,107.65679
-118.399465,61,108.406556
-122.918208,83,109.185292
-119.604909,68,109.936671
-117.461409,60,110.688287
-127.642279,77,111.460134
-138.729002,301,115.209477
-99.038741,2000,138.689166
-104.489718,453,143.958042
-96.351544,357,148.388414
-117.383272,110,149.870754
-120.189104,105,150.702766
-95.923275,269,153.679728
-101.512497,120,155.171332
-118.617808,887,165.648683
-101.950889,353,170.115565
-85.2797,183,172.311573
-102.947724,149,173.854569
-101.915446,213,176.148571
-96.533202,219,179.072299
-113.229119,476,184.388204
-111.905229,184,186.682958
-115.557473,190,188.980011
-110.112885,422,194.201196
-96.22164,575,200.358325
-109.889622,208,203.255235
-104.935157,546,209.336797
-116.965935,696,217.72465
-108.549922,547,224.559579
-89.366026,451,229.910841
-89.3145,223,232.210662
-112.286406,525,238.280593
-90.764789,924,249.771761
-95.438304,276,252.83374
-114.816202,465,258.199585
-144.022393,2000,282.583552
-88.457867,2000,306.434958
-111.299757,2000,330.10901
-149.357273,2000,353.431047
-87.745117,2000,377.719534
-160.734965,1257,392.399205
-93.445779,141,394.618894
-84.395396,242,396.976039
-89.888297,548,403.713943
-57.047076,618,411.207627
-76.773658,448,416.396718
-98.745365,359,420.291285
-82.017343,674,428.527514
-88.729996,265,431.595985
-85.263758,2000,454.982337
-67.227133,1130,468.478637
-69.390387,568,475.163486
-103.584072,564,481.347272
-61.349307,936,492.632596
-98.393325,326,496.372205
-97.147124,408,501.549824
-100.249136,393,506.128638
-87.901578,282,509.204881
-89.397374,550,515.945834
-113.656183,476,521.242149
-97.954348,1249,536.21999
-105.327163,487,541.618327
-86.211701,295,545.270993
-94.592673,297,548.331127
-68.137683,888,558.846071
-29.743207,2000,591.478708
-64.486012,2000,615.011693
-74.947048,962,626.30374
-144.284395,1393,642.724725
-85.088059,319,646.472736
26.897287,2000,669.766603
-103.57676,323,673.545985
-65.448375,711,681.829232
-90.73646,392,686.396437
-71.504037,999,698.384548
-13.69323,2000,721.517775
-170.119902,1840,743.079448
-61.766081,2000,766.31917
-60.248947,2000,789.643025
-75.377322,1376,806.077516
-102.136127,446,811.322913
-102.863918,1447,827.786869
-97.265605,328,831.571202
-130.457108,678,839.709349
-76.239679,2000,863.004839
-134.552368,2000,886.779122
-81.656314,2000,910.099879
-57.843157,2000,933.523007
-97.516664,322,937.252287
-92.105619,266,940.254974
-41.914255,2000,963.401099
-134.587399,775,973.046597
-96.547619,278,976.055068
-95.760617,308,979.802774
-15.358147,2000,1002.932677
-92.052077,394,1007.414613
-101.119627,301,1011.097314
-113.228637,2000,1034.281497
-40.66698,1135,1047.653612
-49.984102,2000,1071.001842
-59.545856,2000,1094.300323
-123.524073,2000,1118.406148
153.982977,2000,1141.633413
-62.046214,555,1148.372895
-168.828595,1774,1168.652114
-35.45388,839,1187.416504
-98.841657,250,1190.423754
-114.584229,223,1193.40071
-66.295279,1019,1205.422672
-97.330133,212,1207.732601
-50.322927,2000,1231.098139
-75.113943,2000,1254.408822
-49.631235,772,1264.057913
-92.754019,231,1266.388926
-55.551465,955,1277.655899
-67.0432,2000,1300.991796
-90.580048,2000,1325.010889
-51.731209,2000,1348.331745
-45.012745,946,1359.593545
-107.391496,330,1363.296065
-91.207324,2000,1386.533163
-87.521418,241,1389.509888
-90.837931,2000,1412.839042
-92.404786,226,1415.820601
-51.125189,995,1427.267299
-99.742632,547,1434.019717
-110.149134,243,1436.35653
-58.980907,2000,1460.325891
-85.159553,544,1466.397059
-15.429119,1329,1482.214731
-16.985034,2000,1505.468847
-86.675926,2000,1528.764545
-26.039823,838,1539.174502
-57.410057,2000,1562.58249
-57.013853,2000,1585.854493
-74.000383,2000,1609.193905
-82.915635,321,1612.9591
-54.005899,2000,1636.936326
-55.66366,2000,1660.242645
-49.083423,2000,1683.66549
-53.953128,2000,1707.00923
-86.943104,136,1708.626727
-122.165817,311,1712.371729
-97.901372,2000,1736.592876
-80.009372,2000,1760.078372
-21.404198,2000,1794.205178
-112.892944,1412,1810.786869
-67.791126,290,1814.457203
177.699267,2000,1837.980863
36.444037,1657,1857.94932
-57.974822,2000,1881.381204
-131.035754,569,1888.184458
-49.219902,656,1895.832948
-87.03989,124,1897.330866
-50.321774,628,1904.863803
-76.610109,274,1907.914505
-52.634969,472,1913.931137
-92.035207,215,1916.261639
-7.263814,742,1925.182309
-65.84854,2000,1948.508151
-84.809955,129,1950.01932
152.427951,2000,1973.263385
-33.794366,455,1978.556434
-59.538006,2000,2001.937688
-96.106933,216,2004.915275
-41.824022,2000,2028.313342
-79.977241,587,2035.032946
-58.288925,318,2038.823677
-45.929864,2000,2062.192992
-92.083507,211,2065.141256
