#{"t_start": 1766933930.0687442, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-96.862766,98,13.820174
-107.095987,44,13.886476
-99.596969,2000,16.662301
-103.078545,36,16.712611
-106.434583,2000,39.26659
-116.565002,2000,64.256146
-174.801362,1573,84.197866
-106.677126,51,84.30199
-130.116045,2000,109.926087
-115.353171,50,110.030077
-127.682395,309,113.972095
-136.32101,2000,139.585622
-111.850244,39,139.666237
-135.361487,160,142.042375
-129.830766,158,143.722388
-133.928469,2000,168.655072
-120.732717,219,171.828664
-122.029236,2000,196.819308
-128.091825,2000,221.844709
-89.988873,378,226.614571
-103.771979,2000,251.736274
-100.326432,154,254.163196
-121.904831,253,257.452449
-108.807171,2000,282.531344
-117.321795,2000,307.523935
-107.441427,2000,333.114582
-185.775162,1606,353.228722
-80.388133,2000,378.156289
-104.567042,2000,403.01979
-119.483617,78,403.864289
-123.878541,77,405.36983
-109.107153,105,406.258058
-122.243854,65,407.062053
-120.867683,56,407.843735
-89.742099,221,411.00742
-98.063416,2000,435.916346
-55.593292,2000,460.56031
-70.162296,316,464.632239
-98.829172,814,474.968955
-98.76784,175,476.700904
-95.754539,165,479.014439
-117.34093,803,489.430713
-61.995677,384,494.204141
-103.80071,313,497.50107
-87.540475,319,501.593879
-87.583556,185,504.002387
-79.152608,205,507.125733
-96.630503,374,511.242201
-100.525968,285,515.263625
-92.371503,161,516.951161
-112.196821,526,524.150252
-111.693483,214,526.606629
-121.688463,2000,551.547627
-63.59037,1194,566.800155
-102.105533,355,570.852459
116.141027,2000,596.355763
-65.08573,574,603.582322
-187.126476,1570,636.708349
-92.002096,133,638.305269
-119.629672,254,641.489162
-134.074377,2000,666.333473
-88.053325,149,668.657985
-110.282358,251,671.94142
-122.348765,2000,696.693478
-72.796359,465,702.426719
-182.488249,1158,717.03252
-145.013008,2000,741.982874
-79.622302,552,749.170197
-107.895225,439,754.770841
-127.487538,153,756.41559
-91.419834,181,758.850919
-74.314338,803,769.130267
-103.352357,362,773.200261
-74.829417,350,777.881434
-92.953185,174,780.245774
-95.996523,359,784.406498
-92.254091,154,786.741159
-64.284029,342,790.758026
-98.290575,485,797.146649
-109.272365,713,805.984551
-52.963189,450,811.630092
-137.131872,2000,836.811009
-67.551675,263,840.061785
-88.010409,124,841.668025
-94.019785,591,848.923912
-101.821902,201,851.344139
-111.669377,608,859.365465
-81.759178,512,865.843867
-82.393943,382,870.780059
-55.680673,547,877.37628
-91.843035,839,887.918745
-66.681058,259,891.824503
-108.150784,81,892.682112
-111.494035,94,893.55169
-81.475627,187,895.878325
-132.350563,643,903.86147
-58.320342,389,908.738734
-52.542357,427,914.280833
-111.466893,283,917.638159
-18.280525,551,924.806451
-29.326042,755,934.539663
-69.79445,559,941.780668
-80.862944,158,943.441555
-72.775041,618,951.408227
-11.334246,1649,971.609516
86.991138,1743,994.000038
108.637851,2000,1018.796142
-109.930266,224,1021.268342
-71.668257,975,1034.071313
-90.321402,206,1036.480819
-125.341946,2000,1061.715641
-32.775361,1084,1075.419863
153.117376,2000,1100.325022
150.953964,2000,1126.009232
-97.305906,257,1129.227047
-104.77142,495,1134.900852
