#{"t_start": 1766944150.5299585, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-102.436947,57,8.127608
-103.165556,96,8.281557
-100.868064,93,8.417666
-104.232138,2000,11.269689
-117.788652,143,11.473475
-110.905711,73,11.580106
-97.758157,122,12.520674
-97.5441,87,13.39191
-113.525585,2000,38.532553
-102.324418,79,40.044956
-116.995694,93,40.90226
-100.392155,70,41.718389
-120.467258,2000,67.764009
-128.539014,2000,93.023092
-107.846012,76,93.857235
-140.192546,2000,119.090404
-125.5758,65,119.888715
-170.397506,2000,145.360431
-114.821708,410,151.006181
-193.55583,997,163.358798
-108.872663,387,168.34114
-94.596513,361,173.286629
-112.248958,83,174.152902
-108.509602,76,175.682069
-100.698135,278,179.043161
-159.688172,2000,204.426929
-121.865284,42,205.189626
-154.43017,2000,230.551201
-183.065065,2000,256.135243
-184.993234,2000,282.333485
-145.571601,2000,307.665333
-146.832167,2000,333.009475
-142.073724,2000,358.236343
-128.290773,154,360.586627
-132.073145,2000,385.955729
-132.670512,2000,411.254559
-127.579264,2000,437.313177
-122.849389,2000,462.871427
-172.45655,1403,480.878124
-125.187328,2000,506.373443
-127.679139,763,516.215018
-126.951489,769,525.974341
-99.568354,68,526.789356
-125.732459,2000,551.94545
-124.035838,2000,577.357558
-112.593462,2000,603.753613
-103.38789,65,604.581003
-127.822879,2000,641.689082
-174.023743,1321,659.223105
-148.176457,1085,673.429247
-119.648033,2000,699.415316
-136.528265,2000,725.239488
-106.364961,454,731.120469
-163.462967,950,743.638467
-119.303776,2000,769.796323
-106.094621,2000,795.73166
-107.729411,2000,822.385184
-113.309946,2000,848.356381
-123.073681,2000,874.472784
-139.603934,2000,900.519087
-123.727372,2000,927.470814
-151.322344,1008,940.056033
-124.12599,2000,966.803689
-98.124613,2000,992.621655
-145.630872,2000,1018.438534
-101.748468,2000,1044.179155
-110.563869,2000,1070.951485
-157.846195,2000,1096.678006
-98.344063,2000,1122.425448
-89.315961,2000,1148.073901
-85.690052,2000,1174.406408
-122.310337,2000,1200.308318
-98.736811,2000,1226.216388
-125.473868,2000,1251.99205
-115.090217,2000,1278.523944
-151.142581,922,1303.408094
-148.482547,936,1315.958974
-94.757181,2000,1341.939598
-219.239643,1896,1367.029402
-141.910589,2000,1392.848364
-113.711924,2000,1418.835097
-98.065741,2000,1444.819319
-163.00706,906,1457.121505
-125.536505,607,1464.668009
-139.570746,2000,1490.495362
-134.876884,2000,1517.05084
-182.694495,2000,1542.788374
-128.788959,2000,1568.618223
-166.015136,2000,1594.384776
-138.469539,2000,1621.052135
-105.064079,2000,1646.987275
-119.161641,2000,1672.981586
-146.156706,2000,1698.960527
-111.118258,2000,1725.562701
-134.140304,2000,1751.408704
-123.352165,2000,1777.212112
-83.185256,2000,1803.123652
-150.49168,2000,1829.768546
-104.199341,2000,1855.525709
-122.847121,2000,1881.336439
-115.128797,2000,1907.148456
-100.927899,2000,1933.752372
-121.581433,2000,1973.004822
-122.204455,2000,1998.772052
-115.156226,81,1999.647888
-118.231559,2000,2025.928686
-130.037974,162,2027.634894
-148.715566,2000,2053.285066
-129.550155,668,2062.324559
-101.96735,2000,2088.385589
-163.385099,2000,2114.29811
-137.192408,2000,2140.575322
-109.85006,2000,2166.250158
-121.802177,2000,2191.652036
-125.301982,2000,2217.377508
-67.907393,2000,2243.534581
-131.662083,2000,2269.294422
-134.010092,2000,2294.994648
-73.876303,2000,2320.848833
-99.427393,2000,2347.029678
-130.056504,2000,2372.508083
