#{"t_start": 1766927873.3446467, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
163.52304,2000,353.714952
-97.598401,242,354.085907
-58.115509,313,354.562649
276.318841,1250,356.346721
275.43173,1296,358.132683
269.279376,1384,707.421466
280.683178,1286,709.206667
126.12555,1175,710.919589
77.654293,2000,713.738934
3.783026,601,714.551217
-5.485507,478,1056.681191
273.739961,1270,1058.427112
272.21311,1208,1060.109547
120.819284,970,1061.439858
275.427713,1248,1063.176328
64.857827,1050,1414.36937
110.237546,1031,1415.802545
274.971539,1292,1417.606269
270.888122,1306,1419.436435
268.482051,1361,1421.364354
138.093388,1190,1774.191342
273.657474,1370,1776.100402
50.517277,2000,1778.95469
277.371798,1253,1780.690723
264.914907,1444,1782.690048
279.827439,1179,2126.076452
275.175303,1200,2127.704276
278.702735,1200,2129.32306
-16.637044,2000,2132.092455
272.227719,1250,2133.969946
108.671336,2000,2483.783983
274.643637,1231,2485.518807
286.270945,1121,2487.083686
-73.516322,2000,2489.959968
283.405729,1094,2491.589295
276.246145,1166,2840.623525
280.692707,1145,2842.221974
96.751999,2000,2845.007767
269.607957,1226,2846.739012
273.402296,1225,2848.460158
156.458664,1107,3193.885304
281.675632,1233,3195.586028
-16.263342,2000,3198.338457
289.675623,1125,3199.96591
278.532933,1203,3201.731163
264.030103,1374,3550.099439
-24.004526,2000,3552.910451
278.566949,1199,3554.593927
-90.692702,400,3555.169491
28.565788,667,3556.148604
268.939981,1303,3904.312346
120.767117,1036,3905.748676
277.177094,1254,3907.491147
71.34157,821,3908.6242
112.128233,1136,3910.216509
273.989219,1221,4256.115737
-12.814513,2000,4259.115611
282.661059,1104,4260.775307
278.886956,1198,4262.575452
281.61772,1138,4264.282515
271.51426,1356,4617.454671
277.895631,1201,4619.098525
282.365439,1190,4620.733305
284.344269,1215,4622.429405
179.6735,2000,4625.367868
52.046267,2000,4979.636969
275.955829,1286,4981.48698
143.552656,2000,4984.392371
283.772249,1135,4985.946037
282.693842,1190,4987.63579
286.016085,1191,5332.815496
155.308557,1337,5334.698776
278.40349,1270,5336.56818
284.435455,1196,5338.370054
288.138267,1234,5340.207486
285.003835,1118,5685.624292
283.928546,1136,5687.330145
285.281492,1191,5689.110476
279.516492,1136,5690.819164
275.160234,1264,5692.666778
178.081547,2000,6045.837466
286.29677,1104,6047.462618
284.216821,1113,6049.140148
270.16488,1297,6051.080136
277.133763,1224,6052.786773
289.100748,1108,6399.657516
285.402634,1183,6401.308075
89.57409,2000,6404.231597
126.431591,1042,6405.801141
290.437624,1181,6407.592121
285.677106,1141,6751.255263
273.424634,1253,6752.970805
278.178947,1242,6754.684884
270.984926,1215,6756.344904
277.933358,1227,6758.034219
282.464301,1183,7110.266999
284.884965,1126,7111.824436
288.470915,1090,7113.337266
241.318212,2000,7116.221006
286.818893,1112,7117.755379
