#{"t_start": 1766863725.2339442, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-106.530511,68,8.300262
-101.317393,2000,11.086704
-118.285306,171,11.344628
-127.589662,2000,34.223413
-107.712096,59,35.034781
-100.935615,84,35.891963
-106.219441,2000,61.257997
-119.774283,84,62.773683
-117.13813,169,64.472087
-117.260272,64,65.292368
-111.819408,86,66.819517
-109.52656,97,67.714493
-186.179141,1383,85.577237
-133.018265,2000,110.958939
-116.312,2000,136.418444
-99.835291,2000,161.664404
-119.978244,2000,187.956405
-113.873784,2000,213.346005
-72.580852,2000,238.676348
-152.441687,1764,261.434045
-89.938803,2000,286.719821
-98.20597,2000,311.938599
-121.733971,83,312.796577
-89.827903,2000,338.526181
-149.097461,1248,354.025276
-64.303179,2000,379.112467
-108.296745,541,386.409359
-134.387722,1315,402.841102
-111.547053,657,411.696686
-51.679884,2000,437.165514
-25.274955,2000,462.502206
-56.960587,2000,488.439957
-93.318059,308,491.770118
-99.112782,96,493.334651
-90.482182,254,496.567868
-90.992145,254,499.838783
-94.068326,261,503.143235
-127.165807,729,512.229239
-104.411998,98,513.817271
-199.222477,1819,536.631058
-117.275942,540,543.821239
-84.325001,2000,569.0787
-74.831269,2000,594.472336
-82.125886,2000,631.687469
-86.109004,212,634.867943
-64.299279,292,638.234911
-89.252546,851,649.661098
-170.792315,1146,663.698156
-99.662512,402,669.299404
-82.194053,150,670.989002
-136.901328,531,677.551202
-115.988691,81,679.09698
-32.920414,2000,704.342294
-113.796343,108,705.949766
-61.658487,2000,731.291589
-102.730699,265,734.598352
-117.000012,60,735.395598
-115.811538,61,736.199687
-18.521189,2000,761.601625
-78.45423,505,768.072923
-119.275956,377,772.993509
-101.945742,133,774.629853
-118.688735,352,778.766325
-1.990631,2000,804.810417
-75.702155,2000,830.112365
-49.235232,2000,855.318949
-42.220755,2000,880.677591
-118.548095,899,892.772926
-90.564508,158,894.484948
-103.83918,255,897.826245
-67.854135,318,901.953001
-61.72543,2000,927.22948
-133.557899,2000,952.486352
-106.05552,178,954.933985
-82.147582,553,962.265277
-44.438006,496,968.763484
-54.01957,2000,994.382576
-107.404599,437,999.976444
-86.625113,194,1002.392627
-120.39396,224,1004.903287
-83.16073,194,1007.358241
-29.341211,537,1014.537134
-125.283262,614,1021.980618
-127.365923,256,1025.211505
-89.038186,2000,1050.432272
-60.432937,379,1055.325952
-100.95794,238,1058.577507
-119.871268,2000,1083.693887
-102.371513,703,1092.651042
-106.961126,2000,1118.589451
-19.588169,564,1125.223933
-157.93726,2000,1151.101924
-87.84692,134,1152.76426
-128.199029,287,1156.083384
-129.321166,2000,1181.440582
-96.239633,386,1186.972511
-110.929943,2000,1212.26051
-86.796697,2000,1237.3394
-101.403981,307,1241.449274
-72.099476,301,1245.550772
-128.406554,1054,1258.798315
-108.349098,2000,1295.290083
-107.988423,288,1299.296197
-69.967725,2000,1324.661551
-93.678518,231,1327.831915
-140.911104,2000,1353.281406
-74.338783,248,1356.486072
-119.739983,2000,1381.755588
-20.599754,1772,1404.635368
11.094707,1124,1418.523464
-96.112302,528,1425.103847
-21.169251,700,1434.118844
8.639331,1282,1450.541824
-72.137221,261,1454.486775
-84.770499,210,1457.002642
