#{"t_start": 1766886421.895816, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
276.171836,1211,34.73543
71.212606,771,45.031942
110.583243,2000,72.363698
274.610815,1220,88.641889
276.599578,1142,103.706967
164.689335,2000,130.166478
282.522518,1138,145.411227
65.681418,825,156.485452
-72.448664,489,162.433887
-58.223985,404,167.59005
14.952333,751,177.56199
-33.204816,1274,194.473018
-94.225822,2000,220.863513
274.536482,1217,236.885624
250.220186,1528,257.525707
270.62527,1248,274.628811
178.710085,2000,300.792451
271.946085,1250,317.856549
265.634711,1299,334.917314
275.156084,1178,350.130402
-53.464116,276,354.318888
-52.18117,515,361.064058
277.141459,1146,376.184305
-6.039311,2000,402.520468
274.641484,1155,417.675599
281.5628,1115,432.061702
269.246042,1244,448.960939
-34.38596,442,454.947563
-2.026569,736,464.457083
122.487375,1185,480.45784
272.506011,1270,496.727901
271.516897,1279,513.510452
-53.86613,313,517.691617
124.475564,1131,532.959299
-100.327859,102,534.61772
-84.629037,2000,561.294971
36.820376,798,571.550186
261.062817,1367,590.093884
25.033542,2000,616.230177
48.923513,2000,642.547792
-28.84349,345,647.520999
-28.397268,497,653.53861
270.852521,1273,670.617959
108.786833,2000,706.052139
-3.423242,2000,732.933074
268.127103,1288,749.942776
138.676252,2000,776.097213
18.12084,598,783.765645
78.440015,937,796.380744
127.184075,2000,822.521516
281.09029,1150,837.708991
37.538511,787,848.579043
279.534638,1189,863.835884
43.3858,731,873.915972
274.787635,1208,889.387473
52.633382,821,900.352841
-4.535573,2000,927.358805
154.341126,2000,953.741948
36.255447,978,966.479771
-109.446207,146,968.194631
88.498838,911,980.686887
273.928496,1251,996.856833
-82.561268,2000,1022.931252
142.768663,1399,1041.513888
274.944619,1160,1056.702671
172.265597,1234,1073.525088
-60.293363,2000,1099.758172
-45.084133,1514,1119.972746
124.731639,1038,1133.470802
270.564703,1225,1149.489213
-59.883713,2000,1175.728055
36.198202,2000,1202.03955
-27.546553,2000,1229.094132
271.383402,1235,1245.399486
37.741436,1838,1270.501258
277.676628,1193,1285.982512
-11.202161,2000,1313.128921
87.280732,2000,1339.839817
271.382084,1230,1365.195722
145.898657,1709,1389.203653
270.714451,1270,1406.743005
67.686714,873,1418.049546
267.339609,1276,1435.198773
-1.039395,792,1446.220599
164.81469,2000,1472.586638
-64.289734,315,1476.855209
278.295226,1266,1492.991166
-75.811941,238,1496.335413
273.401387,1214,1512.336633
91.283988,917,1525.029072
-72.471932,372,1529.375366
-42.756861,2000,1556.547247
95.388693,1001,1569.380722
257.208216,1429,1588.581151
104.982898,1383,1606.394934
150.190704,2000,1632.596457
276.099623,1260,1649.613289
270.826456,1278,1666.314209
-38.543661,403,1671.417306
272.940423,1271,1688.223429
16.797787,2000,1714.429735
273.486098,1298,1732.093224
278.10655,1200,1747.304766
208.809173,2000,1774.127967
-41.759093,2000,1800.38804
270.469411,1272,1817.342108
275.445995,1239,1833.358248
276.790753,1245,1850.130563
277.188024,1194,1865.431876
276.629972,1188,1881.388561
263.816139,1382,1899.058864
158.442718,2000,1926.030741
272.027133,1221,1941.986864
269.085279,1272,1958.878915
268.999346,1331,1975.920545
49.055986,780,1986.982811
270.100552,1235,2003.271593
270.874427,1261,2020.162036
264.214647,1345,2048.701605
276.215121,1209,2064.851933
271.61811,1226,2080.877782
225.476749,2000,2107.095981
-4.75126,699,2116.507565
-14.708238,2000,2142.772774
272.058924,1290,2159.626653
-43.744165,2000,2186.51227
245.542796,1597,2207.538746
132.736348,2000,2233.604614
-28.826315,2000,2259.855456
281.841991,1173,2274.971523
272.578138,1252,2291.679663
148.296767,1128,2306.825342
279.847367,1131,2321.131668
273.833464,1184,2336.957818
-131.771371,2000,2363.349359
275.706264,1156,2378.549837
277.051447,1230,2394.585744
276.537095,1159,2409.680202
276.13904,1131,2424.850367
269.719679,1278,2441.7522
155.672039,1009,2455.187461
279.589136,1181,2470.408574
38.106662,738,2480.406437
287.125627,1118,2494.72455
19.970916,2000,2521.094327
281.982361,1118,2536.19058
278.957359,1178,2551.482146
49.185286,649,2559.851926
-141.895499,2000,2586.745409
279.164426,1143,2601.938574
272.57483,1260,2618.147415
233.036752,1936,2644.230955
265.471014,1290,2661.028157
277.788394,1138,2675.428534
46.8734,793,2686.246703
283.637834,1114,2708.72468
265.493353,1291,2725.668527
134.837247,2000,2752.906683
145.329416,2000,2779.084394
265.260022,1354,2796.784723
205.187866,2000,2823.043842
283.562585,1111,2838.133171
82.644074,1075,2851.761863
38.878403,743,2861.799255
88.116026,1234,2877.705276
265.718524,1351,2895.365755
66.785008,2000,2922.38496
220.575556,2000,2948.548591
267.072843,1293,2965.592642
164.017903,2000,2991.894011
270.928676,1208,3007.790928
276.954011,1213,3023.805688
268.996175,1240,3040.666978
-68.854088,270,3044.09201
-25.640796,666,3052.591523
8.820602,2000,3079.381517
174.715604,2000,3105.523675
-54.252156,1265,3122.340809
275.1218,1176,3137.524206
267.789753,1313,3154.372874
271.755847,1244,3171.083816
277.140424,1215,3187.113737
62.105043,2000,3213.244596
269.991338,1277,3230.119748
-62.799674,1617,3251.276607
-2.221207,2000,3278.373322
259.026436,1408,3297.042398
112.121079,1023,3310.43172
277.252057,1216,3326.271482
270.460647,1282,3343.102972
270.417367,1273,3359.235516
195.243015,2000,3393.142875
275.643612,1170,3408.329085
15.305266,2000,3434.737243
138.596205,1221,3450.685789
282.793283,1102,3465.65023
-138.685589,2000,3491.804395
3.361962,621,3500.235389
278.417212,1148,3514.641402
280.357236,1121,3529.672229
272.438011,1251,3546.52679
144.30693,2000,3572.685585
9.850925,513,3579.526221
-24.83958,2000,3605.895046
37.272215,725,3615.211723
274.675349,1256,3632.055749
