#{"t_start": 1766897920.8779972, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
275.906402,1115,24.043852
283.964249,1084,39.609222
285.229506,1037,54.375006
285.37812,1095,69.942439
284.269564,1151,86.449332
285.896278,1033,101.20255
17.408014,726,112.201548
70.719665,1004,126.174683
38.460021,1247,144.681878
289.167892,987,158.571262
-83.949574,204,161.362367
58.518444,936,175.160416
276.621771,1176,191.838137
39.716758,628,201.037704
76.464251,708,211.285872
279.825958,1116,227.972027
22.070585,764,239.118746
277.834353,1180,255.975568
-30.093484,402,261.564403
-31.616628,406,268.026014
120.619091,945,281.244704
11.014885,802,293.344207
-31.605225,292,297.920252
-123.915873,148,299.880444
16.124651,573,308.215461
48.919155,662,317.612922
282.378724,1077,333.345549
51.498626,1132,350.009909
232.301003,1849,409.187386
