#{"t_start": 1766946206.8346763, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-108.725658,114,9.013317
-132.394601,82,9.194452
-145.483652,2000,14.459412
-128.73855,71,14.621536
-152.366916,2000,19.61537
-109.649296,75,19.798146
-127.429062,50,19.91345
-115.037715,119,20.197702
-115.694739,54,20.324895
-133.17715,95,20.542222
-119.20834,66,20.695225
-115.248991,81,20.877632
-114.857812,73,21.050629
-109.620985,68,21.206336
-133.733357,88,21.408217
-151.888265,2000,26.358202
-116.609265,55,26.486386
-113.204954,83,26.677338
-149.987597,2000,31.740061
-112.038268,53,31.862688
-130.246132,131,32.161192
-147.070283,2000,37.048463
-241.516656,1965,42.715024
-113.06966,108,42.964572
-125.134209,81,43.148681
-146.872679,2000,48.172505
-132.888366,2000,53.156716
-118.204343,50,53.280958
-136.558567,2000,58.332349
-113.453568,71,58.502584
-148.100339,2000,63.551553
-156.583745,886,65.593985
-113.592371,68,66.194459
-117.83415,68,66.350416
-112.474231,2000,71.302323
-109.103308,2000,86.661642
-102.34443,2000,91.283393
-126.680027,2000,96.323028
-154.816042,857,98.636443
-79.655887,2000,103.611626
-139.500485,656,105.130731
-146.102291,2000,109.998415
-119.796614,743,112.061358
-121.002618,2000,129.75577
-126.888845,2000,134.667604
-143.63124,2000,139.601129
-144.466546,2000,144.586685
-142.957629,2000,149.536258
-116.4644,386,150.800096
-111.552135,2000,155.905755
-143.720258,2000,171.370788
-113.289409,100,171.60201
-127.204203,589,172.934738
-110.591112,289,173.571765
-72.273583,2000,178.654946
-115.840287,371,179.501374
-216.667051,1747,183.767392
-108.034101,753,185.440177
-125.65,2000,190.453151
-106.543598,239,191.012786
-113.537987,2000,195.979309
-85.171894,2000,201.662273
-106.460682,2000,206.627907
-92.55535,410,207.93288
-140.260321,2000,212.673638
-99.919653,176,213.063219
-108.768274,375,213.953015
-109.480963,279,214.60033
-115.621238,494,215.842975
-119.082524,314,216.568094
-108.750831,778,218.800914
-123.819006,44,218.905765
-132.604331,107,219.151218
-132.858056,80,219.335397
-162.194996,1916,224.229039
-100.895774,821,226.181073
-102.964445,185,226.606424
-139.387128,1575,230.629608
-121.018085,1660,243.109945
-87.442994,2000,248.072392
-96.251624,340,248.892537
-140.575771,886,250.939388
-84.897329,2000,255.894519
-131.162357,2000,260.915146
-145.534642,758,263.14546
21.119169,2000,268.147981
-94.815766,2000,283.773919
-105.770051,213,284.257581
-87.310416,348,285.038819
-132.598722,1987,289.977305
-116.044317,325,290.761027
-117.086858,1105,293.702122
-103.442948,210,294.190371
-86.154086,2000,299.201407
-89.645132,2000,304.234299
-118.107344,334,304.993248
-104.901418,870,307.004793
-115.71127,853,309.255281
-102.381204,212,309.708448
-91.081209,149,310.054106
-51.572774,1052,321.738181
-145.239556,2000,326.756701
-94.953574,161,327.620244
-113.452568,312,328.347191
-71.047525,499,329.46824
-116.061471,1044,331.829113
-116.949874,154,332.177753
-116.414537,455,333.633307
-101.686375,712,335.186956
-136.340775,1250,338.508366
-144.467194,2000,343.55829
-99.880369,149,343.893562
7.491262,2000,348.771121
0.963934,2000,364.316942
-145.718046,2000,369.407361
-71.665852,988,371.676136
-131.445732,712,373.291211
-76.757197,850,375.634079
-97.807929,149,375.994113
-131.199388,2000,381.061411
-102.239965,838,382.930161
-122.784028,2000,387.938053
-78.769706,1235,391.246806
-72.497258,2000,406.896137
-59.143245,2000,411.845026
-153.641572,758,413.594765
-100.481155,202,414.069034
-126.78311,71,414.235659
-51.283495,2000,419.094478
-145.628037,2000,423.931953
-106.959338,265,424.560637
-154.252453,1005,427.360774
-158.466949,741,429.015994
-196.459067,1592,433.034433
-110.880457,1434,447.613868
-113.166068,2000,452.57501
-146.826912,2000,457.420993
-91.847613,2000,462.312335
-106.754211,2000,467.39654
12.326545,2000,472.379727
-87.194683,1254,475.206018
-102.492319,234,475.753044
-107.692959,1702,488.925657
-116.230495,343,489.727795
-75.377548,334,490.92453
-96.955881,805,492.768875
-93.722426,680,494.26899
-7.909545,2000,499.206237
-91.773242,128,499.514467
-175.410786,1085,502.48459
-100.489325,185,502.903039
-112.385453,352,503.682645
-127.962432,215,504.173183
-82.054473,323,504.924692
-195.992128,1664,509.15842
-122.124428,332,509.91324
-82.813749,2000,514.986233
-96.544751,576,516.735804
6.768624,2000,527.290474
-94.180718,677,528.776289
-112.135226,305,529.440428
-144.193412,2000,534.26733
-82.265098,658,535.789921
-104.246181,243,536.316544
88.297576,2000,541.221584
-110.451486,2000,545.942177
-107.887964,265,546.96516
-94.718475,142,547.294913
56.553063,2000,552.279696
-83.895243,2000,568.103154
-114.150948,362,568.93041
-88.756573,2000,573.720613
-118.146178,2000,578.738493
-102.61573,2000,583.655961
-102.985256,170,584.026079
-1.610092,2000,588.997314
-95.983276,2000,593.915783
-83.249243,537,595.161347
-80.369708,608,605.699375
-110.431179,315,606.410058
-139.942647,2000,611.36962
16.746816,2000,616.408203
-91.70796,148,616.729673
-117.667672,2000,621.668301
-90.916297,731,623.764787
-114.095021,2000,628.792214
-78.710834,934,630.914834
-100.329833,2000,642.418738
-172.666187,1104,645.360568
-97.648284,2000,650.433261
-36.451691,2000,655.418242
-130.09371,2000,660.392344
-112.559649,605,661.794656
-131.373744,2000,666.651223
-156.229444,618,668.060991
-123.583672,2000,672.961286
-135.194366,2000,691.061636
-45.769267,2000,696.070985
-96.841634,455,697.151413
-115.165656,2000,702.243485
-96.476424,145,702.556462
-138.069308,635,704.385021
-92.727156,612,705.730764
-143.216275,2000,710.712605
-104.156146,239,711.309391
26.407918,2000,716.25513
-97.886192,112,716.496556
-76.914011,551,728.685062
-122.362309,2000,733.569205
-113.290419,2000,738.623505
-91.889385,2000,743.418387
-88.622988,2000,748.428476
-102.485022,208,748.893778
-112.527056,2000,753.873718
-74.412276,641,755.716619
-123.552547,2000,774.403083
-86.124944,202,774.834172
-80.714298,2000,779.616311
-110.871948,330,780.344951
-113.525112,340,781.090791
-139.12181,2000,786.109601
84.944109,2000,790.928277
-67.71874,2000,795.830777
-102.702624,227,796.364775
14.668995,1530,800.336568
-82.940758,2000,818.483966
-137.274511,2000,823.524788
-92.534828,2000,828.565699
-109.083257,290,829.226614
5.533955,2000,834.357111
-87.258905,325,835.119877
-51.049542,1719,839.5167
-105.754564,416,840.501416
-96.69914,248,841.126967
28.252287,2000,846.299045
-68.558733,386,847.205735
-163.338498,992,858.146301
-126.257734,2000,863.203338
-38.658955,2000,868.17972
-111.055113,2000,873.15835
-25.158451,912,875.190913
-59.734723,2000,880.218914
-138.422231,787,882.531854
-82.765594,988,884.820806
-86.496462,450,885.801349
-70.092307,2000,900.030298
-135.905019,2000,905.031651
-12.008323,2000,910.110465
-102.751461,2000,915.067327
-12.446137,967,917.812686
-117.583644,2000,922.816231
-21.941235,1646,926.779607
-80.593432,288,927.418665
-132.459899,2000,945.513504
-98.22075,2000,950.580922
-96.686522,385,951.467035
-66.804867,748,953.103223
-108.380247,2000,958.050725
35.62222,2000,963.036306
-43.377808,2000,967.939868
34.74938,2000,982.687548
-95.229985,144,983.034371
-125.845601,2000,987.949532
-114.06663,2000,992.848021
-54.943234,832,995.265115
-121.022417,2000,1000.097223
-131.475314,2000,1004.604947
-61.041568,2000,1009.674875
-109.904056,2000,1022.48138
-44.354393,2000,1027.482669
-97.839749,145,1027.822249
-58.068257,2000,1032.904391
-99.245032,162,1033.718149
-131.678073,2000,1038.63457
-37.89653,2000,1043.194902
87.534127,2000,1048.145212
-132.375539,2000,1066.719063
-92.26462,2000,1071.755176
-25.655198,2000,1076.773731
-75.231783,539,1078.420355
-20.26089,1369,1081.581243
-43.580046,2000,1086.647844
43.410263,2000,1091.632805
-63.421173,735,1093.783103
-71.107947,280,1094.44748
-65.282273,2000,1106.464105
-53.956743,1073,1108.863191
-77.485665,301,1109.54521
-106.903755,2000,1114.56211
158.011932,2000,1119.566363
-93.333172,139,1119.862308
-35.19543,1057,1122.671141
1.513472,967,1124.833117
-103.966081,205,1125.703632
-64.367447,314,1126.369625
-57.770576,454,1127.34566
-62.599383,337,1128.126744
-84.743428,355,1128.95649
-103.731444,712,1131.053674
-67.518134,323,1131.772363
-100.972687,177,1132.16723
-59.339767,597,1133.519509
-75.747696,443,1134.484859
-105.028777,431,1146.418808
-123.853952,2000,1151.398984
-114.552618,763,1153.167506
-64.08187,950,1155.337834
