#{"t_start": 1766945051.1650708, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-171.976125,2000,14.669221
-126.692186,58,15.237726
-160.84071,2000,18.491994
-122.752736,46,19.183861
-122.594971,69,19.355395
-121.913601,65,19.501882
-144.963399,2000,23.685795
-142.662969,2000,27.614969
-143.860092,2000,31.16049
-162.847817,947,33.708105
-104.788787,94,33.866546
-147.721955,2000,38.723708
-142.729045,2000,42.980378
-113.610344,56,43.101962
-146.330048,2000,47.394887
-119.758233,51,47.49282
-125.233057,61,47.594798
-150.316593,2000,51.577316
-146.324073,2000,56.310126
-131.176323,2000,60.33748
-146.673508,2000,77.609148
-118.335449,52,77.694805
-131.338982,65,77.812827
-119.889585,47,77.93581
-158.88358,911,80.128392
-145.927271,2000,84.166996
-162.739585,972,86.562366
-121.039393,50,86.667472
-119.453384,151,86.954534
-132.317858,2000,91.583074
-121.65202,2000,95.656395
-145.256661,2000,99.604208
-130.427946,544,100.555336
-123.478059,2000,120.085475
-111.77679,67,120.196998
-131.433465,559,121.076746
-172.550183,1081,123.287097
-107.357009,89,123.440972
-147.22785,2000,128.040554
-144.886813,2000,132.054679
-145.36217,727,133.316627
-127.832252,2000,137.31222
-125.837486,2000,141.767083
-145.072437,2000,158.815082
-120.614705,2000,163.330894
-126.282289,2000,167.174873
-146.835507,2000,171.13247
-135.743608,624,172.698794
-112.345962,59,172.82778
-122.930438,459,173.898426
-124.344519,2000,178.323831
-145.856008,2000,182.331635
-126.752984,51,182.42495
-140.113364,659,196.454624
-126.536364,2000,200.956065
-140.763849,541,201.826161
-119.481529,38,201.897386
-143.861995,2000,205.914483
-119.949104,2000,210.544835
-130.196064,2000,214.383683
-146.3062,2000,218.600229
-130.156932,72,218.74866
-144.50539,2000,234.358845
-93.070625,2000,238.450971
-129.744308,2000,242.450471
-87.48006,2000,246.883059
-133.0802,2000,250.579463
-124.093751,2000,254.441326
-108.776893,267,254.907439
-117.013236,369,255.586642
-116.55891,63,255.697709
-106.542708,2000,270.599087
-144.732874,709,272.767009
-145.964755,2000,276.874144
-108.073815,532,277.807578
-109.53809,284,278.373004
-113.032061,2000,283.021996
-134.230034,2000,287.451133
-108.747314,270,287.995364
-106.370514,220,288.461697
-111.42685,306,289.616817
-126.573373,1283,292.333324
-116.033467,322,293.249269
-91.261863,2000,297.865156
-115.336667,2000,311.858535
-134.356346,1156,314.184894
-132.596889,2000,318.588098
-136.087485,2000,322.723845
-145.974352,1310,325.043807
-112.986281,323,326.185651
-35.928029,2000,330.918785
-128.241042,95,331.057483
-123.439493,486,331.907757
-148.214808,2000,338.896698
-137.023002,2000,343.766677
-126.937496,2000,347.954009
-111.831518,1387,350.39689
-114.251518,2000,355.154518
-130.467907,748,357.020662
-107.042093,251,357.493044
-124.165404,2000,361.399464
-136.235099,2000,368.869819
-121.884125,72,369.01853
-91.554431,2000,373.068739
-102.287435,187,373.393609
-105.892929,241,373.80351
-108.834256,485,374.609052
-134.183269,2000,379.106665
-125.863526,87,379.246372
-103.832902,1966,383.180986
-129.632305,58,383.2786
-104.011009,540,384.649928
-111.384433,297,385.090589
-97.032901,723,386.370807
-49.381049,2000,390.721041
-118.533223,2000,404.593896
-105.024392,212,404.964849
-95.734944,759,406.82289
-96.07915,631,407.953362
-56.536816,2000,412.384065
-157.827038,1133,414.611316
-119.260506,801,416.433316
-100.474303,1059,418.200884
-81.45062,495,418.99722
-134.155552,205,419.917485
-149.707583,1956,423.907198
-122.127792,685,425.410748
-98.007345,122,425.628285
-85.874066,773,427.06096
-131.928827,2000,438.736311
-82.987129,459,440.156893
-108.764276,257,440.617381
-85.334319,2000,445.040209
-109.317613,269,445.525336
-131.473175,2000,450.243207
-132.198815,2000,454.537581
-37.564031,2000,459.613427
-102.94929,195,460.278858
-48.766528,2000,465.256039
-100.141102,166,465.632421
-101.425123,172,479.331388
-132.560384,2000,483.541225
19.345837,2000,488.002463
-102.527384,176,488.287725
-42.175672,2000,492.385894
-104.909367,212,492.779569
-92.775902,669,493.967025
-145.031607,2000,498.396926
-79.205927,2000,502.536677
-110.839034,185,503.099687
-95.638132,2000,512.728155
-98.638486,163,513.016734
-104.356184,2000,516.88076
-112.318316,271,517.871769
24.962789,2000,522.208433
-105.237996,126,522.402997
-128.232884,54,522.504547
-124.339271,2000,526.30806
-97.987631,136,526.534892
-123.598924,2000,530.567625
-108.89725,119,530.806473
-103.614149,207,531.241975
-104.161271,223,531.856279
-108.146993,281,532.404216
-140.868089,769,533.807988
-79.806184,455,535.101897
-79.867686,656,536.283819
-108.736493,259,545.576643
-110.281799,326,546.145374
-105.877206,152,546.408595
-116.665537,840,548.365261
-25.462371,2000,552.171841
-43.238834,2000,556.373512
-74.70106,901,557.919404
-146.901493,2000,561.844983
14.833173,2000,566.28234
-104.91221,91,566.513322
-132.757521,2000,571.078209
-91.649341,1849,583.574193
-111.184603,388,584.235039
-100.174649,165,584.560883
-158.100018,1402,587.746217
-98.288976,382,588.601448
-115.220853,1003,591.555669
-57.069442,1658,595.903468
-176.365522,974,598.358118
-126.500323,596,599.517583
-106.427275,230,599.971858
-102.164351,172,600.343468
-97.369492,2000,605.253926
-111.038193,2000,618.091049
-69.698936,1039,620.355555
-69.863485,627,621.530105
-102.211002,155,621.810234
-82.898822,446,622.681595
-75.516201,805,624.69277
-127.640819,2000,629.518325
-104.918259,603,630.644149
-32.851113,2000,634.811669
9.047181,2000,639.43177
-128.351345,2000,643.357739
-99.332072,312,643.886796
-90.042551,2000,659.275633
-59.043064,1971,664.038686
-131.056684,675,665.327538
-59.683134,2000,669.698578
-107.676946,1584,673.096205
-55.042651,2000,677.650851
-142.957763,2000,681.887887
-103.120781,280,682.461964
-129.568053,2000,696.09583
-99.632258,162,696.419305
-33.203264,2000,701.164473
-130.723156,56,701.264562
-86.64257,667,703.022053
-132.011865,2000,707.259053
-105.594498,229,707.646169
-93.367493,286,708.162486
-100.423866,159,708.54756
-120.86278,462,709.62592
-114.865066,325,710.562517
-83.023112,1067,713.024295
-100.531898,165,713.358366
-53.34151,2000,717.856886
-145.268068,2000,730.214158
-71.934126,486,731.07279
-41.920923,2000,735.554787
-117.961096,278,736.013692
-53.215328,2000,739.78533
-32.297687,1135,742.144919
-105.459131,2000,746.927423
-129.673227,2000,750.905452
-103.246921,206,751.297271
-126.412781,183,751.695992
-128.32807,2000,763.058455
-112.605163,298,763.591932
-79.162609,460,764.327618
-107.010398,2000,768.640182
-101.013332,156,768.985264
-94.581063,1280,771.844572
-101.850526,158,772.137364
-98.84312,161,772.38824
-95.173045,311,773.065297
-35.744156,762,775.085855
-99.686904,2000,780.003242
45.528146,2000,784.582591
41.839481,2000,788.655025
-146.018496,2000,802.226355
-116.042582,2000,806.701513
-79.340919,484,807.575266
-103.819424,199,807.904669
-6.886349,2000,811.745136
-101.111557,135,811.993303
63.347438,2000,816.105258
-102.853346,182,816.594195
-97.807494,124,816.918869
-89.921664,311,817.555724
-85.5054,710,819.377622
-128.207787,2000,823.31868
-104.423505,190,823.705159
31.23338,2000,834.23935
-104.050495,216,834.626836
-84.993534,2000,838.583221
-98.089619,127,838.806266
-44.217931,1566,842.618461
-33.847342,1141,844.65281
-143.953068,2000,848.572698
-99.213262,155,848.828208
-105.602252,2000,853.321559
-123.866063,2000,864.710859
-85.063064,296,865.360299
-98.096067,125,865.614747
-125.237117,526,867.094323
-94.123298,788,868.514431
-142.12025,2000,872.308827
-80.114488,559,873.224089
-95.641597,126,873.441092
-87.005822,363,874.05763
-99.214722,477,875.495302
-70.994339,348,876.334395
-100.26242,148,876.702
-106.374951,2000,880.885565
-127.742732,2000,885.020074
-98.896622,371,885.690159
-15.287663,885,887.516378
-82.124574,377,889.028007
-98.502995,737,890.341196
-93.710293,2000,901.903734
-88.582719,186,902.201207
-125.995497,2000,905.80819
-77.577821,437,906.526305
-37.373499,800,908.267713
-98.902423,155,908.508292
-100.399234,2000,912.751407
-98.10724,455,913.527262
-80.205009,2000,917.530729
-106.268752,2000,921.313825
26.188821,2000,933.580764
-97.527233,113,933.787521
-46.375692,2000,938.142501
-84.247569,926,939.859756
-100.095337,136,940.107501
-84.718387,2000,944.002851
-122.384914,2000,948.884287
-98.38076,142,949.158274
-115.225988,170,950.172499
-104.341008,2000,954.972951
-98.881904,153,955.213673
-37.530872,1199,957.586991
-105.198659,187,957.945178
-142.120774,2000,964.702594
-85.605061,277,965.178715
-93.471865,225,965.580447
-126.811673,2000,969.785848
-78.994182,464,971.530096
-108.714577,2000,975.838552
-58.329703,2000,979.942239
-93.957569,2000,984.849568
-100.426701,144,985.121078
-83.562889,631,986.310723
39.001996,1837,995.947432
-123.862582,2000,999.793945
-22.273823,1062,1001.744096
-85.687675,281,1002.751701
-139.64571,2000,1006.454219
-88.939562,225,1007.595973
-110.009976,323,1008.334538
-89.59303,287,1008.96478
-102.058218,157,1009.316255
-124.579656,2000,1013.492888
-143.926991,2000,1017.77301
-125.067828,2000,1028.854898
109.234387,2000,1033.168954
-72.87138,666,1034.217621
-126.488374,2000,1038.175817
-137.253625,2000,1042.40412
-108.788371,291,1043.154122
-89.711092,2000,1048.14689
0.034156,1741,1051.83246
-11.811609,2000,1059.679269
-45.999819,1111,1062.418194
-117.486528,2000,1067.439676
-109.310727,266,1068.179217
3.956829,1334,1070.889796
-105.981043,223,1071.811051
19.753255,2000,1076.081955
-117.517033,305,1077.217423
-130.81245,482,1078.346617
-34.012413,1267,1081.201658
-11.83243,1615,1084.714489
-12.316698,2000,1096.673084
-119.303721,389,1097.344397
-70.672376,412,1098.575967
12.879816,1697,1101.663297
-24.61116,674,1103.974426
-131.35841,2000,1108.124236
-101.344241,598,1109.146672
-127.031755,2000,1113.146792
-55.638608,1350,1116.459944
-113.774977,128,1116.678642
109.434381,2000,1120.528173
-97.986904,132,1127.920936
35.013202,2000,1131.985678
31.336496,2000,1136.021973
-93.332172,1463,1139.135757
-14.623641,2000,1143.099612
-71.302717,2000,1146.923503
-109.020052,305,1147.93328
-91.149841,335,1148.483293
-45.270116,443,1149.331605
-120.988278,2000,1164.850029
-99.339271,154,1165.194622
-125.295325,2000,1169.068794
-33.701684,914,1170.578738
-91.893418,352,1171.721646
-19.538834,1189,1174.023612
-116.823265,392,1174.809028
-93.725847,2000,1178.520555
-111.308758,287,1179.449007
-110.632721,328,1179.947602
-97.113961,500,1180.777873
-129.578762,2000,1184.863234
5.769733,2000,1189.16322
-76.142451,517,1199.953444
2.910035,2000,1203.753555
-25.695743,1909,1207.339476
-110.290208,280,1207.857679
-141.524197,96,1208.006166
-110.837876,436,1208.978354
-97.680693,252,1210.165306
-44.392452,2000,1213.861415
-121.228119,2000,1217.042056
-82.628631,274,1218.072404
-38.541879,2000,1222.471416
-79.86963,246,1222.879341
-97.349708,122,1223.088761
-96.334934,2000,1230.529966
-97.903524,172,1230.817506
-123.056566,102,1230.975233
-58.95003,532,1231.873034
-109.081807,277,1232.478364
-90.953447,2000,1236.800423
-137.627825,91,1236.99449
-27.951006,2000,1240.991268
-69.116602,368,1241.620424
-12.894999,1456,1244.950235
-72.748908,2000,1249.191281
-92.309487,211,1249.551292
59.097815,2000,1259.964456
-97.034885,340,1260.5946
-91.29494,363,1261.615808
-99.719345,370,1262.237638
-72.838084,369,1262.891096
-74.982056,2000,1266.702596
-31.784833,1190,1269.238223
-127.981098,2000,1272.937359
-106.32804,262,1273.786021
5.586138,2000,1277.434189
20.613223,2000,1281.612066
-119.161642,2000,1290.921566
-8.577785,2000,1295.285384
-70.3539,384,1295.908699
-44.153432,2000,1299.888125
7.556945,2000,1304.327396
-102.057909,170,1304.778972
-120.502972,2000,1308.743238
-97.502087,128,1308.978954
-101.422547,2000,1312.876201
-97.946439,123,1313.113163
-83.905244,2000,1326.543806
