#{"t_start": 1766934664.6495872, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-106.530511,68,12.888381
-101.317393,2000,15.421047
-118.285306,171,15.661635
-111.808434,2000,37.703598
-104.571926,46,37.793222
-103.403039,2000,61.926562
-108.601424,67,62.678977
-105.854716,44,62.756855
-89.779531,2000,86.739799
-119.323732,825,96.454641
-149.380495,1410,112.886909
-114.882232,65,113.669608
-127.610414,373,117.529733
-115.887521,159,119.733832
-103.400657,2000,143.190339
-122.469479,391,147.67245
-121.534116,130,149.184195
-98.237772,759,158.176692
-116.120218,131,159.672839
-117.218109,116,161.15831
-124.581121,114,162.651552
-110.456836,273,165.635339
-106.82616,204,167.918531
-129.359867,741,176.858489
-98.560704,313,180.577248
-133.215949,170,182.148805
-119.092659,75,183.577477
-100.549622,137,185.110738
-121.638195,83,185.901368
-112.309966,250,188.980007
-83.565993,261,192.007835
-124.141183,677,200.256677
-109.94236,211,202.516411
-62.995976,386,207.010099
-90.786355,264,210.080502
-102.4755,407,214.698282
-100.113368,394,219.925427
-96.997288,2000,243.462711
-111.198839,1370,259.845049
-82.20075,2000,283.426276
-67.781474,2000,307.98131
-158.538011,1511,325.590874
-63.652949,2000,349.551078
-105.887552,180,351.157592
-115.588904,94,352.608275
-76.754083,2000,376.255503
-76.977484,2000,400.002858
-108.096898,205,402.923553
-95.279783,287,405.990238
-87.213388,221,408.336389
-96.733013,326,412.712096
-92.414377,248,415.015254
-35.735592,1009,427.061837
-88.403177,644,434.636017
-75.502676,710,442.98463
-111.894137,612,450.458389
-123.655085,857,460.306215
-94.731832,303,463.978323
-49.859662,2000,487.297984
-100.068845,307,491.122237
-95.20769,318,494.867938
-119.417339,2000,518.265879
-153.819289,1029,530.339331
-17.629822,2000,554.241359
-58.199732,2000,577.590431
-86.672657,361,590.703472
-98.668516,283,593.795274
-88.108544,367,598.304595
-67.584094,2000,621.769548
-87.293012,258,624.798092
-96.234966,1529,642.753896
-80.617303,356,646.559724
-60.932259,2000,670.50925
-102.913859,441,675.776165
13.702659,2000,699.168506
-107.476144,2000,722.278111
-137.866287,918,732.783918
-112.41586,507,738.722512
-92.696428,278,742.330314
-52.068496,828,752.067996
-94.277613,252,755.071958
78.321632,2000,778.242701
-50.413685,2000,801.58943
-86.630086,364,806.071376
-91.879366,392,810.5941
-79.544668,2000,833.815359
-94.287428,2000,857.058138
-77.653133,2000,880.786026
-72.402386,2000,904.067296
-99.699959,389,908.613378
-57.561043,1077,921.421721
-56.579648,887,931.987405
-95.11014,327,935.723288
-114.127647,548,941.777366
-102.901116,287,945.453348
-100.569207,539,951.433679
-45.744019,1017,963.350038
-95.822721,730,972.291934
103.339726,2000,995.403193
-92.277111,311,999.135931
-102.15318,240,1001.445889
-109.712609,421,1006.640115
-31.412703,2000,1029.830626
-91.966283,782,1038.783954
-49.531152,2000,1062.672834
-92.781082,257,1065.701643
-100.634946,232,1068.026705
-63.329836,2000,1091.95938
-22.966611,2000,1115.463217
-84.242389,2000,1138.693444
-136.967671,1228,1152.947335
-10.513399,1385,1169.353377
96.812717,2000,1201.741955
-73.899468,1122,1215.229721
-91.396152,1528,1233.315636
-58.701593,2000,1256.577668
-77.613069,2000,1279.912226
-31.410755,2000,1303.23989
-79.015969,840,1313.008256
-85.793301,445,1318.317603
-55.367094,2000,1342.282053
-87.533527,581,1349.067931
-53.911706,448,1354.296749
130.551721,2000,1377.529713
-152.073961,979,1388.808563
-80.542725,1472,1406.124397
-71.86972,661,1414.309141
-62.705317,2000,1437.78861
-57.249387,758,1446.779348
-108.995092,416,1451.368297
-37.066195,2000,1474.679087
-105.706637,268,1478.422194
-60.494324,374,1482.272397
-97.098552,2000,1506.170269
-136.527349,829,1515.943141
-126.527123,619,1522.729422
-53.289351,1113,1536.128582
-77.031896,2000,1559.562847
-99.40967,272,1562.628297
-67.138395,2000,1585.903428
-90.276258,2000,1609.896558
-92.917715,2000,1633.19939
-60.625738,2000,1656.485763
-57.62767,2000,1679.897049
5.145403,2000,1703.920316
-40.847518,2000,1727.447932
-49.556899,2000,1751.055957
-5.293518,1397,1767.680171
-102.584488,877,1788.911446
-197.984735,1719,1809.231047
-120.82095,1068,1821.374644
-39.223609,603,1828.893156
2.486343,570,1835.692942
-95.684671,309,1838.796341
71.589128,2000,1863.197009
-39.543814,973,1874.559055
-81.541495,140,1876.084039
-70.7645,2000,1899.624274
-58.900932,1315,1915.505399
-74.670024,2000,1938.812216
-92.472268,230,1941.777962
140.425317,2000,1964.982522
-4.692805,2000,1988.338365
-64.807437,2000,2011.84294
-119.208731,2000,2035.738596
-54.560918,2000,2059.122202
-28.402623,1705,2079.438601
-97.122681,2000,2102.807971
-88.075587,2000,2126.137487
-63.39487,373,2130.602872
-13.923103,2000,2154.088877
-56.558106,2000,2177.644549
-34.010784,560,2184.377764
88.487012,2000,2207.707741
-99.945696,292,2211.394922
7.266936,1098,2224.219554
-112.197644,1602,2243.046251
-93.341932,346,2247.465222
-76.73076,499,2252.812422
-22.322708,1168,2266.992525
-7.039047,1142,2279.952429
-89.821193,361,2284.421589
-46.576437,2000,2307.72467
-49.169941,2000,2331.6474
48.482071,2000,2355.038337
-92.543372,2000,2389.219968
-109.471452,2000,2412.811602
-77.247972,2000,2436.965513
-85.405156,127,2438.462116
-37.89588,2000,2461.836631
-112.097313,2000,2485.378106
-26.398887,944,2496.603662
-0.773844,2000,2519.910851
-66.20496,2000,2543.342688
5.30687,2000,2567.38923
2.743737,2000,2590.931841
-107.484438,2000,2614.290177
-87.449385,168,2616.518765
-18.670386,2000,2640.025446
32.987877,2000,2663.384352
-99.035049,2000,2686.594974
-112.424425,2000,2710.666199
-33.459448,597,2717.529233
254.375273,1769,2738.562621
-40.94215,2000,2762.096948
-34.697604,520,2768.15962
-65.310352,517,2774.15309
-21.931343,2000,2797.67164
-90.377205,162,2799.868326
-90.565972,119,2801.380009
-97.768774,185,2803.659879
-55.069601,2000,2827.159111
-25.93429,783,2836.258113
149.682123,2000,2859.747202
3.97562,514,2865.789365
-98.120084,2000,2889.950817
-96.881113,2000,2913.343802
122.270106,1398,2929.866605
148.709002,2000,2953.140438
-99.714414,1236,2967.38388
-50.005403,2000,3003.511425
26.611237,2000,3026.914771
-18.518561,2000,3050.210511
-42.329965,2000,3073.508325
-125.368694,2000,3097.605168
-41.291174,310,3100.720294
-2.465777,2000,3124.595238
-113.892888,544,3130.687599
-12.146531,2000,3154.124793
75.948443,2000,3178.075765
-55.478924,2000,3201.428459
-32.682874,2000,3224.6735
76.523781,1195,3238.976553
-93.090355,2000,3262.240419
-135.967823,947,3273.443673
258.458879,1640,3292.847249
-58.311296,372,3296.661961
-87.769675,458,3302.607723
-61.381182,2000,3325.887341
15.574391,1230,3340.058895
-53.506297,2000,3363.400214
-81.53604,144,3364.91752
-57.284359,2000,3388.876342
-47.507476,428,3393.457396
-67.172039,331,3397.898463
15.650853,967,3409.243012
69.302526,1043,3421.260284
-113.731344,547,3427.910326
-58.939113,2000,3451.022573
-67.725128,2000,3474.254888
-51.135153,753,3483.218893
46.12008,2000,3506.529469
65.494485,1329,3522.229106
28.696198,2000,3545.516629
-73.401105,333,3549.314027
59.191588,2000,3576.096828
-73.763553,2000,3599.282849
-66.710919,275,3602.337741
-88.653781,2000,3625.734243
-68.043354,2000,3649.806159
273.232192,1553,3667.92173
-32.592607,2000,3691.229783
-68.344151,458,3696.428375
-28.786443,2000,3720.439752
93.672676,2000,3743.834648
13.472775,1160,3757.446354
10.908163,1750,3777.830201
-40.01091,2000,3801.064343
-62.345834,2000,3824.921016
-77.650612,2000,3848.043299
275.060198,1442,3865.245974
19.449,784,3874.26947
7.698186,2000,3897.595939
25.611274,2000,3921.023754
-147.152048,1183,3935.242436
54.924249,1586,3954.028488
-75.88945,2000,3977.161178
-54.754441,1392,3993.594717
-17.272293,2000,4016.807305
145.676883,1348,4032.70652
-93.489516,2000,4055.942704
-61.303807,292,4059.642745
-66.334786,2000,4082.773623
39.226568,1105,4095.503156
7.937067,662,4103.654195
64.578798,1063,4115.626212
-8.207958,2000,4138.942852
-25.872385,2000,4172.595153
-82.977335,208,4175.114159
-35.819902,2000,4199.401328
-99.491752,1498,4217.51882
85.626054,2000,4241.208062
-97.193299,210,4243.554844
-50.477839,227,4246.615475
-76.157455,189,4248.962061
-7.050668,2000,4272.680948
-49.274339,364,4276.526504
49.955541,892,4287.142304
56.393497,2000,4311.445425
58.713939,2000,4334.990894
133.790854,1288,4350.278002
-48.807481,2000,4373.693389
-9.89994,2000,4398.068979
123.194778,2000,4422.122418
12.158535,2000,4445.680856
279.437602,1357,4461.679758
-24.970764,2000,4486.036864
127.934431,2000,4509.736794
20.706556,2000,4533.40602
279.851254,1402,4550.270619
-91.994135,2000,4573.932944
-20.994788,388,4578.53128
177.45807,2000,4602.016119
-51.682148,2000,4626.164549
105.347222,1099,4639.241021
-36.340817,2000,4662.847184
-58.300204,2000,4686.405683
-119.477241,1626,4706.121378
-37.484638,2000,4729.650151
-55.057567,411,4734.222405
280.558354,1339,4750.208505
-66.709245,2000,4786.467766
158.327352,2000,4810.363401
104.39993,2000,4833.983531
-100.856819,295,4837.738637
173.815101,2000,4861.329586
-99.44491,2000,4884.966922
-31.968419,549,4891.699382
66.374601,2000,4915.390453
275.31207,1422,4932.245032
-63.230735,2000,4956.547854
-67.322939,2000,4980.259204
190.988769,2000,5003.685637
-45.856883,336,5007.574546
-43.297164,2000,5031.879806
-64.385747,2000,5055.486307
74.310987,2000,5079.159551
287.444591,1263,5094.311091
36.34851,952,5105.822356
43.481321,2000,5129.502823
141.500031,2000,5153.432398
-39.362861,2000,5177.24192
-35.076557,505,5183.398345
181.27711,2000,5207.760539
85.099496,2000,5231.500532
79.22157,2000,5255.418712
279.402637,1344,5271.921898
226.599703,2000,5295.834334
23.784069,681,5304.147799
-90.106254,170,5306.372888
52.000151,2000,5330.027743
-91.555319,208,5332.359288
-92.84545,1919,5355.094533
287.801535,1287,5370.577508
286.418075,1281,5396.020878
-52.370981,2000,5419.550529
-19.429346,680,5427.767056
