#{"t_start": 1766933930.0686197, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-106.530511,68,13.771354
-101.317393,2000,16.554031
-118.285306,171,16.793642
-115.953999,2000,40.067023
-105.442883,68,40.862024
-106.244987,2000,65.865587
-103.057815,51,66.644017
-103.691432,61,67.431389
-119.171589,2000,92.307775
-125.90764,671,101.138952
-172.555184,624,108.420597
-115.740842,188,110.805043
-122.075707,473,117.047717
-221.264117,1710,138.062615
-117.95605,66,138.875653
-111.352558,2000,164.507258
-103.750948,92,165.349825
-152.590102,799,175.841576
-92.757918,2000,200.818186
-165.933084,1524,220.122113
-116.059057,75,220.961127
-115.603911,2000,246.00273
-132.091645,2000,271.28621
-180.603433,1261,287.347483
-98.224119,238,290.512432
-123.563775,222,293.022369
-138.892237,769,302.583518
-67.91906,2000,327.511125
-93.120033,152,329.890658
-76.904119,2000,354.840517
-56.71107,2000,379.844941
-175.838004,1809,402.945379
-120.894348,64,403.755885
-86.268446,418,408.647544
-92.317115,255,411.883404
-129.925544,114,413.463289
-117.117421,530,419.959199
-102.105341,2000,444.795864
-113.378677,1465,463.043798
-131.214379,402,468.550578
-95.319719,211,470.983118
-56.823732,2000,495.870235
-124.925686,195,498.28789
-70.346812,252,501.546468
-100.801697,201,503.989082
-93.745315,187,506.402157
-89.941342,206,508.839674
-107.241929,116,510.409991
-89.468443,233,513.639071
-111.065037,186,516.074566
-72.82234,569,523.335332
-115.274416,217,525.81988
-80.487483,259,529.070998
-71.486591,399,533.882005
-78.595996,510,540.308531
-114.98309,2000,565.960416
-105.949153,390,570.758994
-97.777093,267,574.046452
-42.91006,2000,598.865323
-1.429796,1185,613.955946
-186.569632,971,639.85066
-95.546313,265,643.039512
-122.289131,561,650.237936
-96.04875,900,661.440199
-107.417234,331,665.472118
-136.368973,197,667.880234
-87.413572,1086,681.551792
-90.221041,1546,700.794675
-93.456523,177,703.193373
-55.656326,1051,716.223669
-31.040166,2000,741.167623
-146.725259,968,753.936785
-96.703813,545,760.440513
-68.704811,1224,775.546528
-49.962063,630,783.574401
-48.471906,538,790.70185
-57.616668,800,800.428431
-89.085081,391,805.22878
-90.474057,166,807.62336
-79.180728,341,811.673926
-85.934474,152,813.304073
13.402478,861,824.560935
-96.21857,188,826.974071
-40.474916,1163,841.661581
-40.207006,1061,855.326643
-70.395988,401,860.15773
-114.089418,623,868.289863
-119.828548,2000,893.495857
-93.061894,638,901.393071
-97.645633,210,903.824107
-47.396768,614,911.861671
-53.463598,1028,924.76033
-85.340328,177,926.489342
-67.921529,620,934.586848
-110.611581,368,939.352743
-98.236235,358,944.188364
-43.530681,715,953.044568
-93.598313,659,961.140761
-89.4329,159,962.777348
-105.602426,329,967.529932
-113.153672,640,975.547417
-91.483084,330,979.622513
-73.408448,1314,995.654754
-82.564287,645,1003.644152
-90.61417,206,1006.712815
-99.369196,258,1009.921169
-81.295279,230,1012.39414
-57.114001,337,1016.478162
-109.15171,437,1022.055902
-69.077352,272,1025.999047
-36.40913,1242,1041.35797
-66.26844,278,1044.595619
-89.314407,201,1047.042624
-72.488086,368,1051.950385
-26.829,1652,1073.015525
-83.550486,2000,1097.899212
-147.937296,2000,1123.545165
-48.721978,334,1127.642285
-56.374188,400,1132.469865
-69.324672,203,1134.876545
-83.665542,342,1138.980905
-87.268803,503,1145.335078
-60.012365,620,1153.268274
185.921566,2000,1178.234393
-120.77583,736,1187.806046
-74.216575,1028,1200.705515
-93.693893,263,1203.895596
-75.117925,580,1211.106733
4.178606,1927,1235.052266
-54.832377,2000,1265.57235
-51.918201,585,1273.533067
-46.986372,762,1282.446705
-69.108903,2000,1308.051562
-42.920623,1424,1325.718236
136.702638,2000,1350.616628
-81.757875,186,1353.00706
181.658691,2000,1378.07578
-28.68841,923,1389.981647
-82.160986,1150,1404.522209
-97.322576,899,1415.809551
-107.500909,820,1426.292021
-123.600976,237,1428.81955
-81.207188,946,1440.856445
-66.294375,921,1452.164481
-130.238626,1743,1474.681352
-104.080251,2000,1499.726506
-104.923881,2000,1524.909293
