#{"t_start": 1766944150.9390023, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-106.530511,68,7.738713
-101.317393,2000,10.57612
-118.285306,171,10.845706
-116.151278,2000,33.103045
-108.77058,46,33.201918
-237.816889,1894,57.550134
-117.906938,114,59.178758
-118.85352,59,59.976204
-116.955407,85,60.827957
-127.694887,2000,86.181101
-143.474465,2000,112.166376
-143.380908,2000,137.597005
-131.45347,265,140.820128
-112.667056,72,141.661628
-104.314186,104,143.235544
-119.106872,61,144.032167
-116.808874,162,145.72914
-111.152041,66,146.556789
-213.941931,1632,167.826802
-111.159152,104,168.723401
-132.480411,333,173.634083
-109.856241,62,174.447391
-112.262473,89,175.314134
-109.822407,84,176.169212
-135.366123,109,177.77076
-119.666935,157,179.534943
-165.866133,2000,205.554013
-142.67296,2000,230.938798
-142.193511,2000,256.51551
-141.150127,2000,282.019851
-144.696184,2000,308.040929
-145.491732,2000,333.393165
-123.99437,358,337.522565
-138.153715,2000,363.422986
-102.282405,145,365.101989
-142.901727,2000,390.440398
-139.961943,2000,415.752048
-124.983498,2000,441.955384
-122.25262,2000,467.438812
-114.79188,58,468.243742
-176.374703,1385,486.213956
-215.213392,1788,508.463519
-107.206536,2000,534.465883
-123.22677,2000,559.61671
-122.385642,2000,585.172232
-130.439085,2000,610.962514
-108.978763,2000,648.874488
-158.779318,1241,664.744195
-115.77222,2000,690.656668
-94.791483,255,694.04729
-135.345966,2000,720.591975
-101.449617,244,723.211823
-95.558128,707,732.444268
-108.010759,433,738.240549
-120.042404,584,745.769957
-121.875719,2000,772.665191
-120.079084,2000,798.542768
-127.174143,2000,824.51183
-117.208447,2000,850.488514
-111.06297,2000,877.376041
-133.367744,2000,903.510704
-150.516135,2000,929.612899
-125.315527,2000,955.570492
-111.898997,2000,982.151272
-109.049125,2000,1008.002259
-97.875799,2000,1033.720199
-115.264607,2000,1059.595745
-103.084059,2000,1086.256935
-189.703623,1597,1106.96559
-202.63023,1808,1130.218844
-88.276295,2000,1155.7996
-104.672993,2000,1181.62516
-138.861791,2000,1208.159168
-127.526659,2000,1234.118131
-101.932107,2000,1259.807985
-158.915716,2000,1298.818282
-141.94218,870,1310.558545
-187.50167,1148,1325.720472
-134.204774,2000,1351.535054
-170.310866,2000,1377.502601
-162.549021,2000,1404.189773
-104.926021,2000,1430.178964
-149.528768,2000,1455.964203
-168.862456,1410,1474.19864
-104.334637,2000,1500.103726
-112.05435,2000,1526.723906
-128.793809,2000,1552.287872
-128.816125,2000,1578.176277
-116.454289,2000,1604.007343
-149.694569,2000,1630.703605
-110.318972,2000,1656.486963
-139.824811,2000,1682.556349
-144.535214,2000,1708.597849
-132.023864,2000,1735.136833
-133.712475,2000,1760.960318
-127.591145,2000,1786.839541
-98.492625,2000,1812.802802
-123.96504,2000,1839.198019
-161.181035,2000,1865.083819
-104.262731,2000,1890.968048
-122.238667,2000,1916.769239
-139.310693,2000,1943.243569
-121.978665,2000,1982.540092
-106.720565,2000,2008.25361
-117.934126,2000,2033.782307
-140.744936,864,2045.357383
-123.04033,2000,2071.099523
-122.014268,2000,2097.196859
-108.060518,722,2107.122844
-123.438876,2000,2132.852694
-126.811905,2000,2158.420098
-85.661748,2000,2183.926415
-142.605335,2000,2210.242656
-122.283185,906,2221.834777
-97.102615,2000,2247.297938
-122.945676,2000,2273.060175
-156.06491,2000,2299.434011
-86.621304,2000,2325.291917
-104.906757,2000,2350.775507
-99.357928,2000,2376.290839
-128.994796,2000,2402.834594
-99.864662,2000,2428.399184
-80.700124,2000,2454.052892
-151.204647,1557,2473.962223
-127.688823,2000,2500.199812
-85.214131,2000,2526.096953
-169.882175,2000,2551.902075
-142.740199,2000,2577.880461
-100.777478,2000,2604.501056
-124.466174,2000,2643.982332
-140.518154,2000,2669.928564
-135.688357,2000,2695.724878
-82.500755,2000,2722.294794
-123.323592,2000,2748.162823
-119.280515,2000,2773.986647
-128.289509,2000,2799.781926
-97.395397,2000,2826.284758
-140.337931,2000,2851.865322
-129.871014,2000,2877.466984
-127.3775,2000,2903.104467
-128.291395,2000,2929.537909
-128.136158,2000,2955.39254
-124.223208,578,2962.91609
-138.258275,2000,2988.725994
-84.911071,2000,3014.477775
-141.145676,2000,3040.981937
-160.45638,2000,3066.735904
-129.862481,2000,3092.433097
-78.818967,2000,3117.987414
-130.663416,2000,3144.251394
-84.358528,2000,3169.972978
-127.676643,2000,3195.738165
-100.23951,2000,3221.619597
-114.191684,2000,3248.160199
-123.440101,2000,3285.629805
-87.573217,2000,3311.25602
-136.539653,2000,3336.904062
-99.674005,254,3340.229844
-140.914716,2000,3366.697792
-131.217016,2000,3392.381027
-138.527918,2000,3418.107187
-159.63464,1053,3432.059216
-148.363256,2000,3457.630321
-130.093316,2000,3483.420787
-128.61641,2000,3509.187144
-111.909449,2000,3535.580122
-85.767391,2000,3561.632571
-237.450028,1885,3585.602015
-135.01268,2000,3611.794642
-129.247096,2000,3637.511515
-99.508808,2000,3663.338519
-107.848309,2000,3689.099108
-178.255946,1241,3705.629309
-87.747465,2000,3731.346291
-136.692968,2000,3757.111655
-129.586096,2000,3782.774038
-126.074011,2000,3809.335044
-106.262301,319,3813.484643
-88.942421,2000,3839.450628
-88.457628,2000,3865.402939
-217.411733,1725,3887.949224
-110.152866,2000,3913.78302
-88.264087,2000,3953.52137
-90.727776,2000,3979.278234
-96.004576,347,3983.428598
-129.87153,2000,4009.894111
-132.937993,2000,4035.754155
-158.755098,2000,4061.45137
-109.252366,371,4066.443112
-103.269755,2000,4092.137273
-137.075234,2000,4117.922852
-90.382307,527,4125.317911
-93.794918,2000,4151.061452
-105.538333,2000,4176.75449
-86.738645,2000,4202.294919
-132.165314,2000,4228.86534
-136.661764,2000,4254.50836
-135.704164,2000,4280.10456
-129.335337,2000,4305.356848
-99.788501,2000,4331.270124
-134.045356,2000,4356.40568
-127.768984,2000,4381.744085
-122.700983,2000,4407.032743
-105.260707,2000,4432.893681
-132.014785,2000,4458.193824
-52.585141,2000,4483.774565
-108.430566,2000,4509.443398
-55.794382,2000,4535.30545
-166.379996,2000,4560.762068
-130.042358,173,4563.183455
-122.046581,97,4564.053857
-125.523687,95,4565.619372
-126.510508,94,4566.502617
-128.377406,107,4568.146016
-132.804029,130,4569.795722
-125.981303,102,4570.700165
-143.827454,2000,4607.607057
-109.910535,2000,4633.225298
-133.776034,2000,4658.545271
-96.09709,257,4661.822323
-94.473595,211,4664.291237
-133.260184,2000,4690.359074
-109.060754,388,4695.270522
-139.415498,2000,4720.60357
-127.824191,2000,4745.775237
-89.959162,2000,4770.948255
-133.575844,2000,4796.973895
