#{"t_start": 1766927864.6181927, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
269.898478,1199,25.250665
-157.867244,494,32.556579
-122.039612,588,40.815559
-25.370454,440,46.9849
273.006104,1209,64.299151
103.996908,983,78.246098
-8.881776,2000,106.711734
-18.115972,664,115.823307
53.706225,970,129.301429
282.742329,1197,146.137066
157.861327,1219,162.993223
58.930087,1023,177.087641
44.158894,866,188.67955
-22.07942,673,198.811514
179.571344,2000,226.628503
275.825522,1216,243.384791
7.84577,728,253.202819
95.530469,1040,268.226917
-45.263112,2000,296.602805
266.276094,1343,315.354509
65.957727,909,328.031491
18.098016,752,338.796583
-56.347028,509,346.039496
-87.817449,219,348.728302
43.370482,712,358.710601
38.962833,674,376.007482
271.525394,1270,394.192287
48.415193,867,405.969116
-30.568242,343,411.106351
-23.038144,500,417.690235
25.395535,816,429.482939
36.589958,760,440.166563
279.274059,1169,456.547468
263.450231,1262,474.361799
268.504654,1283,492.372861
275.155482,1328,511.32695
266.874099,1337,530.350018
157.50115,1224,546.979132
260.05782,1486,567.17131
-136.214952,2000,594.376776
-0.911033,2000,622.501983
268.790753,1316,640.024741
234.772361,1815,665.296058
277.670698,1284,682.748034
-84.741578,2000,709.945598
-120.876071,110,711.666646
263.693627,1433,739.93343
21.479272,2000,767.22142
278.405652,1182,783.765745
82.154714,2000,811.222335
-157.70501,1128,826.928917
274.467624,1227,843.500779
278.469807,1213,860.16054
282.47189,1119,875.101847
44.010591,789,885.55844
112.891811,1039,900.194891
4.038514,613,908.161932
0.07567,2000,936.043015
284.375246,1138,951.034279
278.437047,1231,968.416648
-62.723179,674,977.174721
278.791957,1155,993.02345
282.395025,1140,1008.743202
274.073482,1184,1024.517976
92.182497,1099,1040.21877
14.668623,598,1048.104927
140.58219,1595,1077.301661
-69.813424,287,1080.885879
-6.95874,483,1087.879294
276.265562,1168,1103.748695
-45.632156,433,1109.889059
-97.255582,2000,1137.240111
-63.043671,2000,1164.384599
128.512655,1312,1183.000128
51.426006,2000,1211.014603
25.025011,2000,1239.082407
275.483921,1150,1255.063425
-8.702472,2000,1284.508806
266.292905,1339,1303.307311
47.471093,2000,1330.691035
274.535382,1274,1348.389615
-38.184977,686,1357.585855
265.777957,1265,1376.124741
-8.885796,534,1384.082786
212.996684,2000,1411.772785
276.401011,1214,1437.599952
-68.634126,729,1447.601789
271.511592,1227,1464.593432
190.541955,2000,1493.768026
273.782359,1172,1509.801903
81.320673,843,1521.879143
9.608439,870,1534.689622
-102.169574,2000,1562.173957
126.133998,1208,1579.4024
-39.418932,358,1583.914874
169.736235,2000,1612.645684
8.791129,2000,1640.524302
274.871393,1206,1657.772664
272.660025,1272,1676.113462
271.225375,1296,1693.809669
271.523832,1260,1711.738373
23.926008,765,1722.361934
125.124784,2000,1749.854281
-69.344094,240,1753.326738
-58.112284,2000,1780.424911
276.534218,1197,1806.54808
260.371655,1385,1825.879544
-81.108503,2000,1852.935595
17.335775,2000,1881.082862
-63.859191,2000,1908.24676
264.664703,1315,1925.881992
280.482128,1159,1942.435481
278.551433,1176,1958.133755
271.835144,1294,1975.752282
279.118518,1199,1992.387287
277.471327,1339,2010.65469
265.547393,1338,2028.944356
263.765045,1371,2047.388227
161.22118,2000,2074.47065
