#{"t_start": 1766853891.738445, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
-96.862766,98,12.988303
-107.095987,44,13.051158
-99.596969,2000,15.79017
-103.078545,36,15.842692
-105.423347,2000,38.218688
-105.545806,2000,63.36439
-126.898455,146,64.989924
-104.967959,47,65.738305
-104.253601,65,66.523954
-104.52466,83,67.361568
-104.458985,59,68.159811
-189.422821,1140,82.50164
-120.440639,76,83.351882
-97.313283,98,84.927507
-121.794333,2000,109.732944
-124.037191,2000,134.61285
-114.231137,2000,160.073514
-123.650791,2000,184.58081
-113.87767,2000,209.545702
-142.882242,1088,223.127479
-107.49185,133,224.745085
-113.338461,2000,249.413324
-118.087521,65,250.211731
-174.716024,1674,271.609081
-62.567625,2000,296.465116
-140.964186,1091,310.027183
-106.789336,2000,335.021906
-68.426758,2000,360.156277
-86.16348,2000,385.760374
-79.27669,2000,410.400879
-77.709365,2000,435.272889
-136.210609,675,444.020212
-66.950232,2000,468.923055
-92.096533,204,471.357587
-85.04579,140,472.987534
-85.747756,2000,498.600541
-30.184594,2000,523.518858
-53.812176,2000,548.396378
-88.719383,2000,573.43287
-94.553896,258,576.668037
-58.306305,2000,602.135183
-94.913005,548,608.646636
-106.76579,255,618.590046
-130.69196,1185,633.627337
-61.686921,2000,658.526779
-96.646493,339,662.545339
-88.952401,2000,687.585351
-119.986115,971,700.173167
-117.273767,636,708.206801
-140.912661,1440,725.862869
-87.522854,190,728.266289
-85.651978,539,734.722446
-67.832527,2000,760.363764
-81.333923,139,762.026539
-92.866084,218,764.466471
-85.998034,232,767.629268
-103.144792,310,771.625444
-86.416154,128,773.211572
-130.973968,499,779.492028
-93.15448,2000,804.41782
-87.941999,302,807.686442
-98.538823,249,810.886597
-105.936082,774,820.460008
-97.657494,767,830.11786
-80.402257,225,833.228924
-81.70156,175,835.641101
-79.968834,278,838.897568
-50.553775,2000,863.679804
-101.094819,313,867.647143
-86.089087,2000,892.417036
-152.251838,2000,917.780241
-114.189248,590,925.066495
-100.209616,336,928.979291
-54.026773,2000,953.82632
-111.357204,2000,979.387296
-51.845644,2000,1004.411621
-60.244106,571,1011.672166
-74.313494,1922,1035.769892
-67.970585,414,1040.659889
-200.46989,1765,1063.073795
-58.339443,533,1069.511137
-95.360237,1265,1085.346191
-74.714642,383,1090.060828
-107.777671,289,1093.321326
-31.537378,2000,1118.862359
-115.876717,304,1122.229594
-158.164173,1223,1138.157297
-91.555025,294,1141.448817
-81.75438,166,1143.815089
-64.756471,643,1151.855661
-108.611876,2000,1176.543103
53.866349,2000,1201.468593
-74.226235,530,1208.541706
-96.345161,231,1211.002968
-44.692112,2000,1235.800985
-81.80886,168,1238.158273
-1.314598,1568,1265.551512
-94.643617,1713,1286.562549
25.166682,2000,1312.22277
-44.726414,1546,1331.457995
-171.092068,1649,1352.160416
-87.008208,1551,1371.393773
-88.689114,408,1376.234586
-19.619751,1072,1389.844873
-11.634001,2000,1414.971076
-31.370931,2000,1439.930075
-64.92914,1068,1453.564296
-93.582072,138,1455.238875
-46.368665,595,1463.153501
-90.356247,177,1464.883812
-78.263285,378,1469.667295
-76.101922,334,1473.711111
146.359896,2000,1499.525172
-46.315513,294,1502.787065
-114.072692,2000,1528.455818
-121.674847,2000,1553.137799
-19.42064,587,1560.455406
-96.933312,2000,1585.251044
-85.339801,164,1587.63024
-69.069742,1368,1604.694177
57.478904,1962,1629.682196
-68.11452,271,1632.909507
-174.190195,1424,1650.540903
-112.94308,256,1653.739097
-88.02256,129,1655.333381
-84.658142,272,1659.251043
-80.504756,548,1665.764723
-96.540467,2000,1690.517917
-122.716357,73,1691.353697
-98.541102,303,1695.32636
-14.302559,2000,1720.130645
31.526936,2000,1745.631274
54.320698,2000,1770.647427
-64.256817,2000,1795.546407
-100.035359,239,1798.804606
-28.574085,1125,1813.253998
-103.504098,1223,1828.587348
143.891065,2000,1853.500697
36.867376,2000,1878.383237
-77.008554,322,1892.319949
-99.795231,2000,1917.457394
-57.836942,456,1923.897237
-132.072694,2000,1948.784838
198.430814,2000,1973.517413
-72.211738,285,1977.38338
-112.848535,2000,2002.306784
-80.393278,629,2010.195903
25.620445,2000,2035.149804
-89.314425,521,2041.486522
-88.223061,2000,2066.375195
-143.788795,1121,2080.620712
146.321687,2000,2105.360552
195.449999,2000,2130.151137
-111.974057,2000,2154.713668
88.016164,2000,2180.403623
-108.031807,2000,2205.277706
-13.361954,1088,2218.951108
-134.860483,746,2228.79061
-50.5559,2000,2253.567314
-41.885721,2000,2278.195611
225.644276,1875,2301.391239
143.9386,2000,2326.948965
24.570775,1263,2342.055904
-126.197106,2000,2367.652703
37.294902,2000,2392.455788
-94.605167,299,2396.411163
-44.357531,868,2406.734947
-116.509893,1061,2420.28978
-12.465421,977,2432.305825
-105.686566,2000,2457.067818
-43.478198,392,2461.912413
-67.072595,984,2474.718735
-110.50607,2000,2499.538573
-83.615663,2000,2538.080567
-90.474386,2000,2563.459464
13.6697,2000,2588.318627
22.507647,2000,2613.163912
32.65239,1326,2629.970433
-73.054098,2000,2654.732171
-5.825611,1045,2667.449725
215.590497,2000,2692.879983
-70.743556,445,2698.529523
-19.880907,935,2709.842222
235.700711,1697,2731.324462
-67.334659,2000,2756.16448
80.840639,1517,2775.296044
154.568366,2000,2800.070376
225.064028,1855,2823.416411
-52.174269,574,2830.62171
231.079515,1829,2853.091596
-30.156935,2000,2878.66292
130.564534,2000,2903.383245
-185.361387,1521,2922.521651
23.359636,1408,2940.003804
-54.745649,2000,2964.795717
-160.765889,1456,2983.081215
-81.975918,131,2984.658585
133.698322,2000,3009.228159
-22.493421,890,3020.382234
-96.122576,1465,3038.76053
37.989621,2000,3063.323792
-76.554648,255,3066.55864
-79.140526,612,3074.514873
28.625269,1440,3092.070392
-29.486502,1136,3106.399738
126.953072,2000,3131.053294
-83.888351,124,3132.644942
-81.81055,2000,3168.63367
92.533983,1682,3189.408991
-97.059658,2000,3214.782744
-103.660709,2000,3239.472832
72.550511,2000,3264.043144
-38.870091,2000,3288.666408
-126.957574,2000,3313.926219
-136.405722,1041,3326.62374
5.514418,2000,3351.272184
-7.372912,735,3360.845
251.496936,1536,3379.925738
-5.654801,2000,3404.593298
-93.079243,443,3410.190212
242.808826,1674,3430.834137
34.223219,2000,3455.419039
151.781172,2000,3480.812576
90.067199,2000,3505.604643
-23.344812,545,3512.059445
-50.004891,2000,3537.473726
-2.41438,2000,3562.012805
-15.38156,2000,3586.621838
242.076868,1681,3607.410559
31.589738,2000,3632.919797
-15.341077,689,3640.967809
252.725953,1511,3660.036987
152.740197,2000,3684.907452
12.894977,964,3696.865639
30.700219,2000,3722.399523
-137.232028,1730,3744.020813
-80.892304,2000,3768.889803
130.517349,2000,3807.030437
-39.333667,692,3815.877307
-91.002861,213,3818.318429
139.740998,2000,3842.811382
-82.42792,1654,3863.529928
35.554034,823,3873.857503
250.767929,1460,3892.109369
83.714254,1062,3905.609012
69.205815,838,3916.187791
252.211891,1512,3934.525377
-33.864083,2000,3959.764261
8.336733,2000,3984.566376
223.356356,1889,4007.791618
23.15596,2000,4033.113329
-44.250757,818,4042.595942
236.517467,1771,4064.809237
110.878645,2000,4089.46379
-100.434113,1327,4106.337438
112.092354,2000,4131.128338
-17.243277,618,4139.009814
39.714851,1060,4151.796649
-96.021615,2000,4177.199547
38.230075,2000,4201.850488
238.82129,1715,4223.292604
251.072961,1582,4242.495895
247.462004,1549,4262.233407
255.247244,1455,4279.816681
37.324072,969,4292.480681
151.248088,2000,4317.056798
-117.700447,2000,4341.706627
254.876217,1487,4359.943727
-75.656998,2000,4385.380325
250.97833,1532,4404.222605
13.111101,792,4414.612
262.613721,1369,4442.599944
258.617963,1436,4460.840226
247.265255,1578,4480.082275
-123.896952,2000,4505.446718
-57.85969,734,4514.347663
-104.497157,215,4516.761989
-180.442338,2000,4542.13473
240.369592,1683,4562.722436
246.273611,1578,4582.451599
29.440724,2000,4606.936523
243.198197,1583,4626.700319
-17.93558,2000,4651.424944
-110.392685,2000,4676.045206
-60.344955,322,4680.00339
-107.08951,159,4682.403581
-33.677177,572,4689.467813
-28.069455,2000,4714.323787
-72.624149,2000,4738.73199
260.237085,1425,4756.604721
256.313801,1462,4776.143591
232.108992,1772,4798.768981
181.993588,2000,4823.367648
251.408361,1546,4842.304546
-52.580875,348,4846.974067
-13.256129,2000,4871.563318
-85.190934,2000,4896.298966
-93.378733,120,4897.86431
-99.976272,78,4898.692369
-101.575998,86,4900.217356
-96.487831,210,4902.690735
-109.74626,109,4904.248311
-103.391069,142,4905.830431
-100.926858,95,4906.66874
-99.28816,75,4907.476927
-105.86167,72,4908.928038
-110.546667,97,4909.783598
-102.465846,80,4910.603634
-95.077158,86,4912.109589
-101.177419,80,4912.974723
-99.022093,69,4913.804674
-104.308501,71,4914.635906
-102.231449,65,4915.446773
-108.090005,66,4916.258065
-107.821607,60,4917.059654
-103.832509,69,4917.875398
-104.799165,85,4919.392592
-104.986856,67,4920.189208
-104.707684,74,4921.030706
-107.441343,80,4921.875321
-103.037638,91,4922.721547
-109.755328,137,4924.997907
-109.162889,59,4925.124104
-107.655696,67,4926.585339
-100.571241,116,4927.518305
-107.144604,97,4929.090024
-102.815,75,4929.925591
-109.857512,107,4931.496608
-108.20057,74,4932.306706
-107.12525,121,4933.85845
-108.680966,121,4935.415004
-107.874927,85,4936.238127
224.290614,1899,4960.054041
244.105286,1600,4979.870366
254.547107,1431,4997.345543
60.137548,1160,5011.588158
-79.659969,242,5014.798242
247.337024,1524,5033.85632
245.169753,1581,5053.113908
246.719461,1573,5084.705712
229.568064,1813,5107.008297
257.85988,1445,5125.284901
112.066757,2000,5150.095284
-125.12002,2000,5174.710846
234.07817,1724,5196.114766
245.559511,1579,5215.833269
-158.617182,2000,5240.414108
282.532018,1116,5254.584569
0.175558,2000,5279.17265
275.927196,1157,5293.444255
255.143962,1476,5311.730565
240.670645,1665,5332.395409
