#{"t_start": 1766886421.905695, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
281.32605,1123,33.799395
-208.967198,1365,51.725739
276.947676,1182,67.920054
-74.465551,395,73.294525
64.674271,2000,99.597918
269.309684,1302,117.222463
267.54644,1269,133.579205
270.062421,1378,152.256823
-96.738964,2000,178.409119
5.734335,2000,204.731151
-77.438756,2000,231.740819
190.74993,2000,258.341505
-34.988479,2000,284.816717
41.819936,873,296.540641
55.42478,1235,312.738642
-16.456251,452,318.783057
21.136136,627,327.331516
266.641496,1346,345.019783
106.321419,1507,365.269226
129.857069,1241,381.272671
-131.981252,2000,407.594502
274.392116,1192,423.553128
149.305718,1055,437.198052
267.852325,1252,454.110261
12.052286,712,463.590095
-33.90427,492,470.234094
268.22699,1298,487.322281
274.964635,1210,503.329331
-10.161474,635,511.772864
26.234836,680,520.243775
273.537854,1354,538.868837
14.183603,622,546.672722
261.12046,1506,567.251205
93.790113,913,579.153132
-74.762401,635,587.611122
-37.397226,466,593.530933
275.789591,1240,610.313912
-40.652278,2000,636.67759
270.567814,1305,653.535367
269.425355,1306,671.414755
119.05607,977,693.095375
266.733693,1304,710.258257
277.731585,1152,725.405676
-82.789805,327,729.613475
-52.244499,2000,756.710464
-3.594935,643,765.068846
98.737043,1048,778.643525
-2.9398,634,787.042951
276.990052,1169,802.28
-51.978574,387,807.392075
268.881346,1345,825.044206
-92.202267,285,829.220849
-4.99076,686,838.460212
22.973558,948,850.334842
268.377602,1304,868.021659
-88.586829,229,870.625817
-40.7937,384,875.674456
-83.780932,235,879.087626
161.32912,1140,894.387174
63.706049,2000,920.674339
83.458918,1056,934.958457
-115.334923,2000,961.382423
275.0947,1174,976.563306
-68.648401,775,986.724438
-31.586689,493,993.429989
-18.3245,2000,1019.467793
32.899124,803,1030.466068
138.195634,1242,1046.538043
18.053991,593,1054.179207
267.332039,1264,1071.028201
-38.025091,315,1075.264855
267.206058,1296,1092.185838
-124.60751,945,1104.805917
90.802676,973,1117.475062
273.387617,1178,1133.450116
97.045953,913,1145.281608
-31.105405,472,1151.222022
117.887921,2000,1178.178722
137.980225,1327,1195.286152
115.67646,2000,1222.239315
128.109723,1152,1237.697967
42.290732,756,1247.143909
9.067126,2000,1274.767415
8.948121,673,1283.375111
125.019094,2000,1309.803623
60.210333,951,1322.568446
-78.723014,177,1325.117624
14.604399,536,1331.994598
94.745125,849,1344.201929
129.245842,1095,1367.752838
160.597136,2000,1395.52079
51.205519,2000,1422.314514
-22.25635,2000,1449.640321
-30.232447,410,1454.835342
136.113988,1272,1471.7297
270.421611,1257,1487.902196
102.41225,2000,1514.829708
257.659141,1450,1533.622602
266.99532,1277,1550.748716
-0.950222,2000,1577.662808
273.926888,1197,1592.826645
-76.648063,229,1596.146325
-5.198067,579,1603.827776
272.356424,1255,1620.684316
270.216244,1270,1636.879044
-40.246889,399,1642.750136
170.328586,2000,1668.793542
-78.737055,2000,1694.986228
159.430636,2000,1721.157745
273.865593,1256,1738.001804
47.115474,1026,1751.426721
280.348919,1163,1766.567144
113.193166,1064,1780.909783
279.623891,1131,1795.320787
271.759672,1306,1813.110003
-71.372133,424,1819.007237
-96.969521,237,1821.601806
281.218651,1257,1838.313029
270.796085,1281,1855.202976
-7.191035,531,1862.047107
266.580749,1343,1879.738194
273.289306,1274,1896.472032
269.31873,1320,1914.158532
277.072789,1216,1930.230216
-112.778142,2000,1956.350709
279.894344,1178,1971.688842
268.377463,1285,1988.797059
119.112939,954,2001.575172
267.076522,1369,2020.16308
279.198729,1140,2046.134104
270.91262,1269,2062.406961
-36.914132,2000,2089.271943
156.31571,1236,2105.363854
38.020345,692,2114.761021
271.653816,1259,2131.002072
-77.794452,2000,2157.846544
274.609566,1197,2173.142751
