#{"t_start": 1766897920.7825885, "env_id": "BipedalWalkerHardcore-v3"}
r,l,t
173.260784,2000,36.951829
167.404332,1066,51.666769
281.710687,1160,69.043307
276.274218,1218,86.461933
275.87665,1158,103.071876
268.106044,1265,120.759231
46.771252,544,129.017929
82.214325,837,141.116758
-62.005092,2000,169.776018
278.519281,1121,186.288536
280.247878,1120,202.088514
125.654786,902,215.1518
271.656926,1220,232.744792
270.053318,1218,250.580549
36.932947,828,262.596485
279.645968,1069,278.449886
39.607917,745,289.714878
119.08424,1146,306.419763
-40.524301,383,312.040016
20.567335,714,322.295743
279.173135,1209,339.930861
53.278183,1401,360.239106
-105.374765,425,365.914284
